100,3,50
797,922,209
4,5,2,45
2,1,10,12
2,5,10,17
7,10,5,34
4,7,4,13
3,5,7,44
0,9,7,4
0,6,10,26
8,4,9,37
4,10,5,21
2,3,3,38
4,9,1,9
9,1,6,9
5,5,1,14
7,9,10,12
6,3,3,19
10,6,9,40
5,7,6,50
7,9,0,36
6,7,1,48
5,3,2,50
4,6,8,37
7,8,0,6
6,6,5,24
5,4,8,25
4,10,1,48
3,3,1,42
1,3,8,37
0,5,3,3
4,5,7,43
10,2,3,5
6,2,2,21
5,8,0,40
1,2,3,27
7,10,4,12
2,10,2,4
1,7,6,46
3,0,9,3
6,9,6,31
2,8,1,11
0,9,5,11
10,9,3,47
1,8,5,10
3,0,9,19
0,9,9,6
8,3,5,9
10,2,1,10
8,8,0,34
7,4,4,18
1,9,1,2
4,8,4,2
1,5,7,43
7,7,9,17
9,1,5,42
7,6,6,23
3,3,5,20
7,0,4,21
6,4,8,7
3,7,7,6
3,5,10,27
9,9,3,14
10,2,10,46
4,2,4,4
4,7,0,43
1,3,10,8
10,1,1,44
1,1,2,47
2,6,7,41
0,8,0,13
5,10,10,37
2,1,1,17
6,7,5,18
0,7,4,48
7,0,3,7
0,5,4,2
9,6,10,20
2,6,6,34
2,9,1,17
3,1,9,28
9,4,1,24
7,2,1,34
7,2,1,36
9,0,2,29
8,9,8,15
5,7,4,22
0,9,7,11
0,9,2,32
3,2,8,11
4,0,8,18
9,5,6,34
1,0,9,10
9,9,3,45
3,7,5,7
0,3,3,30
0,1,5,5
3,9,8,15
2,10,2,3
7,8,5,47
10,4,4,38
10,7,456,17
