50,4,50
773,28,569,293
13,14,2,14,4
4,9,4,19,31
17,17,11,3,16
2,3,15,7,47
4,1,10,16,16
13,19,20,16,12
2,7,9,3,20
12,3,16,4,1
10,12,14,4,5
15,4,3,5,14
19,5,0,2,37
15,14,12,3,43
2,18,1,2,23
11,17,7,18,31
4,11,18,12,42
17,4,1,2,43
3,12,9,10,28
6,13,16,19,4
12,19,10,14,48
16,10,11,14,22
8,20,7,16,37
2,14,17,5,23
16,15,16,16,2
10,16,17,1,11
7,20,3,14,20
7,6,14,1,50
7,9,11,17,10
0,6,9,5,41
19,15,4,2,8
14,20,15,18,28
2,14,18,9,36
13,20,14,9,5
13,4,19,15,6
0,19,6,4,43
18,7,16,9,17
8,18,17,16,16
8,6,16,7,32
5,14,13,8,44
18,1,11,3,13
8,6,19,15,31
10,9,0,4,42
15,19,0,14,8
19,15,3,18,10
7,19,11,3,14
11,11,18,15,47
14,7,10,13,26
10,1,0,11,42
2,6,20,19,41
15,12,16,15,26
2,10,17,14,42
