5,5,50,,,,,,,,,,,,,,,,,,,,,,
524,181,713,46,95,,,,,,,,,,,,,,,,,,,,
105,11,176,118,186,2,596,,0,0,0,0,0,2,1,596,433,163,17929,,,,,,
8,193,200,156,164,43,721,,8,193,200,156,164,43,1,0,0,0,,,,,,,
127,102,103,109,48,17,489,,0,0,0,0,0,17,1,489,332,157,,,,,,,
4,20,65,181,53,45,323,,4,20,65,181,53,45,1,0,0,0,,,,,,,
191,142,169,32,172,17,706,,0,28,0,32,172,17,1,474,428,46,,,,,,,
435,468,713,596,623,,,,12,241,265,369,389,,,,,,,,,,,,
,,,,,,,,w=1,w=2,w=3,w=4,w=5,,,,,,w=1,w=2,w=3,w=4,w=5,,
524,524,0,12,-12,,i=1,k=1,105,,,72,29,206,,,i=1,k=1,105,,,72,91,268,
181,181,0,241,-241,,,k=2,,11,,,,11,,,,k=2,,11,,,,11,
713,713,0,265,-265,,,k=3,,,176,,62,238,,,,k=3,,,176,,,176,
46,46,0,369,-369,,,k=4,,,,46,,46,,,,k=4,,,,46,,46,
95,95,0,389,-389,,,k=5,,,,,95,95,,,,k=5,,,,,95,95,
,,,,,,,,105,11,176,118,186,596,433,,,,105,11,176,118,186,596,433
105,11,176,118,186,,i=1,k=1,,,,,,0,,,i=1,k=1,,,,,,0,
0,0,0,0,0,,,k=2,,,,,,0,,,,k=2,,,,,,0,
127,102,103,109,48,,,k=3,,,,,,0,,,,k=3,,,,,,0,
0,0,0,0,0,,,k=4,,,,,,0,,,,k=4,,,,,,0,
191,114,169,0,0,,,k=5,,,,,,0,,,,k=5,,,,,,0,
,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0
,,,,,,i=1,k=1,127,,,,,127,,,i=1,k=1,127,,,,,127,
,,,,,,,k=2,,102,,,,102,,,,k=2,,102,,,,102,
,,,,,,,k=3,,,103,109,48,260,,,,k=3,,,103,109,48,260,
,,,,,,,k=4,,,,,,0,,,,k=4,,,,,,0,
,,,,,,,k=5,,,,,,0,,,,k=5,,,,,,0,
,,,,,,,,127,102,103,109,48,489,332,,,,127,102,103,109,48,489,332
,,,,,,i=1,k=1,,,,,,0,,,i=1,k=1,,,,,,0,
,,,,,,,k=2,,,,,,0,,,,k=2,,,,,,0,
,,,,,,,k=3,,,,,,0,,,,k=3,,,,,,0,
,,,,,,,k=4,,,,,,0,,,,k=4,,,,,,0,
,,,,,,,k=5,,,,,,0,,,,k=5,,,,,,0,
,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0
,,,,,,i=1,k=1,191,,,,,191,,,i=1,k=1,129,,,,,129,
,,,,,,,k=2,,68,,,,68,,,,k=2,,68,,,,68,
,,,,,,,k=3,,46,169,,,215,,,,k=3,62,46,169,,,277,
,,,,,,,k=4,,,,,,0,,,,k=4,,,,,,0,
,,,,,,,k=5,,,,,,0,,,,k=5,,,,,,0,
,,,,,,,,191,114,169,0,0,474,428,,,,191,114,169,0,0,474,366
