95,5,50
185,616,906,511,535
9,0,1,7,5,44
5,7,9,4,2,49
10,6,9,1,3,8
0,10,8,10,4,1
7,7,3,10,2,30
2,0,2,9,8,12
7,2,9,10,9,23
5,0,9,10,7,16
6,3,6,6,9,4
2,6,0,8,2,36
1,10,3,3,9,23
2,4,3,8,8,37
1,6,8,2,0,13
7,10,2,6,6,9
0,10,0,8,7,16
5,0,0,2,7,34
4,6,7,10,6,12
7,3,2,5,4,33
7,8,1,3,2,42
2,9,6,1,4,27
10,0,0,6,8,16
8,6,10,8,1,45
4,4,5,2,6,6
4,8,9,7,3,49
6,4,5,8,2,46
0,8,0,7,2,17
6,6,1,1,6,12
5,4,5,1,10,48
1,4,10,8,2,31
2,10,7,2,3,43
5,8,0,2,1,20
7,7,6,9,1,30
7,6,9,10,2,47
8,2,9,1,2,33
2,8,6,5,9,39
9,7,6,3,1,19
1,4,2,10,7,15
3,6,10,5,2,11
8,3,5,5,1,19
2,6,10,5,9,30
9,0,10,6,6,3
5,6,9,1,3,49
2,6,0,6,0,46
5,8,9,6,10,35
5,5,10,4,4,29
8,2,6,6,4,27
10,4,8,6,6,42
4,7,5,1,7,45
0,10,5,1,1,11
5,6,5,1,6,16
1,2,0,1,4,37
1,1,3,0,10,29
3,6,0,5,6,42
5,3,4,1,1,41
7,8,1,1,3,5
10,9,5,10,0,27
4,4,1,2,8,7
7,9,9,0,7,34
10,3,10,8,4,22
2,6,8,8,9,4
9,4,10,0,4,21
5,10,3,3,0,40
0,9,0,7,0,22
7,0,1,1,0,16
8,7,5,3,7,28
7,7,8,0,8,24
7,4,7,3,0,39
8,3,7,2,5,20
6,6,6,7,3,38
2,2,5,7,9,32
2,3,7,1,5,28
0,4,9,10,3,23
3,8,0,2,0,18
9,0,10,8,7,25
0,7,7,3,6,2
0,10,1,8,7,49
9,1,6,0,0,29
7,8,7,10,5,4
0,7,8,0,3,44
3,8,1,7,7,16
7,9,5,0,8,19
8,9,10,6,4,46
1,7,3,7,6,43
10,10,4,0,10,13
6,8,9,10,7,26
0,7,0,9,3,33
2,4,6,1,9,13
2,10,8,8,3,32
5,0,10,1,8,24
0,4,5,7,5,24
8,8,3,7,6,41
9,4,0,3,3,46
2,9,8,3,2,50
6,0,5,6,1,42
10,7,7,8,371,30
