95,6,50
220,87,624,534,782,693
9,0,6,2,1,8,13
2,0,9,4,10,0,18
3,2,9,5,5,7,45
3,2,7,9,4,0,17
6,6,3,7,7,8,37
2,2,8,7,1,0,49
2,5,3,6,3,4,23
8,4,0,2,10,2,34
4,4,0,9,2,3,6
4,2,1,6,4,8,3
3,10,6,5,5,3,43
2,8,5,7,0,2,44
5,3,10,0,4,4,6
1,3,0,8,10,6,8
0,9,1,9,1,10,20
8,9,0,8,0,7,7
5,3,1,9,4,10,15
10,4,8,9,9,1,42
8,9,0,10,3,9,21
5,9,0,10,0,5,37
0,7,5,8,9,3,6
8,2,9,3,10,1,20
10,7,6,3,10,2,37
8,4,0,3,5,1,29
8,0,1,8,8,10,20
7,4,3,7,8,8,40
5,2,0,9,7,4,7
5,6,2,7,7,10,17
5,5,10,10,9,9,47
4,4,7,3,3,10,38
8,6,9,5,3,1,38
8,1,2,3,8,2,27
3,8,2,4,3,0,21
2,7,10,2,4,5,12
3,0,1,5,6,2,20
4,5,3,4,4,0,16
10,3,3,4,9,2,30
9,7,6,4,1,9,40
2,8,3,3,2,6,32
6,1,3,1,10,2,3
10,7,10,4,10,2,8
1,6,9,9,9,1,25
2,0,9,10,6,7,45
6,9,3,5,7,3,3
0,6,5,0,0,10,29
10,7,8,2,6,8,13
8,4,5,6,7,2,26
2,0,2,0,0,10,10
1,3,3,7,3,9,16
8,2,6,2,10,1,42
9,4,4,10,2,0,49
10,1,3,1,10,2,12
0,2,6,4,0,5,21
8,4,1,3,6,10,27
3,9,6,0,2,6,37
4,5,0,0,3,9,20
3,9,10,4,10,7,9
2,9,6,2,8,8,5
4,0,7,0,0,9,35
10,9,5,1,8,6,30
5,4,3,1,6,6,42
6,8,1,3,7,4,22
7,0,9,7,7,0,25
4,6,6,10,8,4,31
4,1,6,6,2,4,38
1,1,8,10,3,3,34
8,6,10,6,3,3,14
7,9,7,9,10,0,27
10,4,7,6,7,0,49
3,5,8,0,9,8,17
1,8,2,5,4,9,42
5,4,2,0,3,5,21
3,7,10,8,3,10,5
5,0,8,5,1,3,9
8,10,8,5,8,7,16
4,5,2,6,9,8,24
9,9,4,10,6,2,14
5,9,3,10,3,7,4
0,1,8,8,0,5,41
0,10,0,3,0,8,10
8,1,10,3,5,7,9
9,4,4,3,7,8,31
10,5,5,7,3,5,13
0,9,4,10,3,10,7
1,9,6,1,4,7,44
1,2,10,0,2,0,35
9,10,10,7,7,4,7
5,4,2,9,8,4,20
0,3,1,3,4,1,34
6,0,2,3,5,4,38
6,5,10,2,1,2,18
7,3,1,3,8,7,1
5,2,5,7,3,10,15
1,2,2,0,2,4,49
5,2,10,10,8,120,28
