100,5,20
3944,2302,8700,4802,5055
17,88,87,20,66,20
10,96,26,0,14,12
34,37,13,15,21,12
86,21,61,33,61,37
0,98,46,31,62,4
0,26,92,98,23,39
0,77,14,74,78,4
25,39,46,31,30,45
15,10,51,44,64,43
11,75,62,63,50,4
0,82,46,0,41,38
0,22,19,88,29,45
85,65,71,100,39,27
14,88,97,49,25,42
89,48,59,34,38,26
0,80,74,68,96,4
72,37,59,67,29,14
85,12,93,53,43,37
0,21,71,34,46,50
75,40,91,0,96,14
24,35,85,24,55,5
34,63,33,67,70,50
0,86,33,77,40,28
34,46,67,50,23,14
0,79,92,41,52,7
0,97,30,98,14,20
76,55,10,63,10,18
51,54,12,0,47,18
0,59,78,92,84,2
75,35,72,12,19,22
10,71,54,0,11,46
14,94,93,92,69,40
17,30,50,30,10,18
0,38,78,33,76,35
75,32,63,0,32,20
15,81,33,52,59,19
92,70,22,33,52,42
41,34,41,62,97,22
23,100,61,90,98,34
73,99,96,55,68,12
16,52,25,0,66,48
76,94,35,99,77,28
17,50,49,65,27,27
21,89,88,93,33,30
16,98,73,21,77,39
71,25,32,23,34,26
0,53,58,41,94,38
85,63,31,0,39,48
15,81,77,87,39,11
100,12,97,17,61,12
39,83,45,38,50,43
13,60,61,32,51,4
0,36,16,94,34,12
46,76,56,72,35,49
73,57,53,63,52,16
58,30,83,92,64,41
10,93,53,50,60,9
26,83,43,47,16,28
67,13,15,42,11,9
56,61,56,56,60,13
48,64,46,89,25,8
31,18,55,38,60,21
0,14,64,28,38,15
0,40,60,0,83,29
43,51,89,60,29,34
91,62,81,13,100,41
0,62,87,74,28,18
12,63,78,71,62,49
36,71,76,21,59,8
0,86,15,58,62,35
79,70,53,94,72,45
0,72,81,22,24,27
69,96,100,83,10,37
0,19,60,0,94,22
70,84,88,10,64,7
18,38,71,86,91,42
53,15,77,56,86,36
77,56,84,81,85,23
81,81,75,15,94,17
70,50,79,55,36,24
0,22,47,67,88,29
91,59,59,86,11,15
73,90,68,0,14,16
56,63,44,98,17,21
97,31,53,0,72,39
37,70,62,0,13,45
78,13,61,41,61,26
85,35,89,41,66,18
0,100,41,45,78,11
95,65,74,85,36,36
56,22,77,25,33,9
0,80,75,91,46,9
35,39,48,11,58,40
44,67,75,28,36,12
86,49,99,0,85,44
47,62,85,30,92,27
84,76,48,0,99,33
0,45,58,69,89,22
35,69,88,43,17,39
0,71,95,0,99,48
