40,4,24
2316,2437,1364,357
98,39,75,41,9
23,16,91,42,35
59,67,22,46,13
17,45,78,76,43
31,62,37,10,5
38,11,46,51,22
99,96,44,88,6
38,78,88,39,14
28,43,15,27,26
43,85,52,13,22
38,69,28,77,44
23,65,64,21,6
33,16,45,92,32
16,93,34,72,14
74,28,49,35,37
83,45,36,19,7
75,24,81,82,37
82,61,78,12,8
15,65,75,95,1
69,69,72,71,38
26,59,63,12,31
27,13,41,71,35
94,43,19,89,13
42,32,22,70,42
84,65,65,33,24
94,78,82,70,12
75,75,51,36,35
57,70,84,27,18
10,20,42,58,8
30,25,16,32,47
64,68,37,64,42
71,88,70,89,15
20,12,52,98,48
77,91,95,20,7
54,31,84,25,50
90,90,97,26,46
60,60,28,65,9
57,40,82,72,31
24,25,23,83,20
34,78,52,29,19
