60,6,53
2676,3831,2978,2719,1959,3123
63,10,83,67,35,44,49
58,23,34,86,37,52,12
0,42,18,62,90,32,48
81,86,19,43,19,19,3
10,27,95,61,16,50,31
66,34,46,97,12,98,25
14,61,92,10,92,68,44
65,0,78,93,23,76,44
0,57,89,41,52,11,47
15,11,42,55,57,71,9
100,56,29,19,62,80,40
95,39,13,53,38,37,8
11,85,0,13,93,91,42
33,96,13,77,83,44,9
14,97,79,78,67,94,35
43,90,85,89,53,58,9
79,40,54,38,58,44,1
0,46,32,47,93,10,18
57,25,84,81,91,66,31
0,27,54,24,55,13,26
0,0,65,26,45,80,31
69,32,43,66,43,61,46
27,80,46,59,29,54,31
47,61,83,84,59,85,34
0,65,0,72,35,12,27
25,58,97,21,78,17,21
45,59,59,37,53,35,49
78,12,24,54,95,73,10
61,55,0,94,52,59,15
40,64,71,42,42,16,18
29,36,98,42,72,88,40
0,52,12,77,31,72,24
0,89,12,31,49,98,25
20,0,87,28,78,33,48
73,60,22,61,38,44,30
33,17,15,84,63,62,18
0,81,44,88,29,95,21
100,0,97,59,74,11,46
70,71,0,50,20,51,11
93,21,88,55,47,60,21
67,49,0,14,90,90,34
29,13,50,92,28,81,10
98,48,69,53,39,79,5
73,23,0,77,58,100,28
0,0,0,93,44,45,9
97,33,37,66,22,63,32
34,30,23,18,26,67,22
0,18,0,84,18,100,18
15,44,0,89,28,23,13
16,11,84,79,15,56,3
0,25,0,98,57,19,29
0,39,99,80,66,44,46
14,93,88,12,47,47,44
75,55,38,51,68,79,31
89,50,96,54,100,10,25
55,46,41,88,49,94,27
53,67,27,40,85,33,14
0,73,39,49,55,54,46
16,29,29,90,60,41,8
29,11,0,48,99,77,8
