I,K,best_min,best_max,best_ave,worst_min,worst_max,worst_ave, bound_ave, gap_ave,
20,4,10625,16125,12866.6,38708,85083,58966.6,1191.6,0.0178812,0.00
40,4,7000,11875,8358.4,23708,43667,30800,583.4,0.0281822,0.00
60,4,10583,12125,11549.8,25625,33333,29816.6,674.8,0.0134826,0.00
80,4,14000,17375,14941.8,23375,31834,26316.8,700,0.00518588,0.00
100,4,17291,19000,17883.2,27166,37250,33125,824.8,0.011117,0.00
20,6,8125,14542,10833.2,134750,231458,177450,1283,0.00456095,0.00
40,6,9667,10917,10333.6,100625,125292,114142,900,0.018497,0.00
60,6,14708,15416,15191.4,109667,123167,116383,941.4,0.00671504,0.00
80,6,19000,21166,19716.6,117542,151416,132708,1133.2,0.00995106,0.00
100,6,24334,27042,25375.2,118208,154917,133125,1350.2,0.0123344,0.00
20,8,10333,13375,11641.8,549667,1.32E+06,1.09E+06,2775,0.00652089,0.00
40,8,12959,14250,13466.8,634250,817959,730684,1300,0.00439695,0.00
60,8,18667,19667,19000.4,695875,846083,787917,1467,0.0141739,0.00
80,8,23291,24459,24108.4,740208,818500,777608,1583.6,0.0216856,0.00
100,8,28583,30083,29483,601667,846458,724658,1874.8,0.00982839,0.00
20,10,11458,16416,13575,5.20E+06,9.47E+06,6.93E+06,3283.4,0.00520732,0.01
40,10,15250,16250,15800,4.43E+06,5.69E+06,4.95E+06,2450,0.00708268,0.00
60,10,21625,23333,22249.8,5.24E+06,5.46E+06,5.35E+06,2350,0.00810657,0.01
80,10,27959,28875,28516.8,4.81E+06,5.41E+06,5.06E+06,2792,0.00502992,0.01
100,10,35250,46000,37700.2,4.68E+06,6.08E+06,5.41E+06,3300.2,0.00668653,0.01
20,12,10542,13583,12308.4,3.03E+07,4.20E+07,3.75E+07,5008,0.0128633,0.04
40,12,17500,18459,17941.8,3.92E+07,4.55E+07,4.20E+07,5108.4,0.00758125,0.04
60,12,25375,26375,25999.8,4.08E+07,4.62E+07,4.32E+07,5108.4,0.00448295,0.04
80,12,32250,36542,33758.4,3.98E+07,4.64E+07,4.44E+07,4925,0.00644209,0.04
100,12,39083,44958,41808.2,4.16E+07,5.20E+07,4.68E+07,5750,0.0160806,0.05
20,14,10959,17000,12858.4,3.04E+08,3.37E+08,3.25E+08,8699.8,0.0114604,0.32
40,14,20750,26917,23233.6,4.32E+07,3.91E+08,3.10E+08,9950.2,0.00397251,0.31
60,14,28250,40292,32300.2,3.94E+08,4.31E+08,4.14E+08,9391.8,0.00603081,0.41
80,14,36917,52000,43500.2,4.48E+07,4.49E+08,3.47E+08,9833.2,0.00869949,0.35
100,14,45542,57167,48966.8,1.66E+08,4.51E+08,3.50E+08,10716.8,0.0089464,0.35
20,16,12541,14875,13941.6,1.00E+09,3.58E+09,3.31E+09,17408.6,0.012156,3.31
40,16,24000,26042,24841.8,1.00E+09,3.73E+09,3.58E+09,19000,0.00977202,3.58
60,16,32084,37375,34350,1.00E+09,4.23E+09,3.87E+09,20075,0.00496729,3.87
80,16,42292,45417,43600,1.00E+09,4.46E+09,4.21E+09,19999.8,0.0155798,4.21
100,16,51542,63750,55142,1.00E+09,4.48E+09,4.32E+09,19666.4,0.00441147,4.32
