I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound
20,4,1,0,0,0,109215,120742,358,754,123177,149159,16125,85083,149159,150148,0.00663051,1542
20,4,2,0,0,0,98239,117572,380,937,114199,153185,12083,63375,153185,156926,0.0244215,1375
20,4,3,0,0,0,77479,93830,332,713,82127,101614,13167,61250,98547,103812,0.0518137,1000
20,4,4,0,0,0,122253,135337,526,1429,128565,151504,12333,46417,151504,152485,0.00647508,1166
20,4,5,0,0,0,125303,126291,582,1480,153821,198798,10625,38708,198798,198811,6.5393e-05,875
20,6,1,0,0,0,162571,170187,858,3224,218341,379567,14542,231458,379567,379747,0.000474225,1375
20,6,2,0,0,0,142400,143615,901,3255,182945,290090,14250,218458,290090,290090,0,1416
20,6,3,0,0,0,135361,141204,296,1275,141281,166592,8125,134750,166592,166704,0.000672301,1583
20,6,4,0,0,0,118384,133479,721,2572,147224,233370,8958,153250,233370,236359,0.012808,1125
20,6,5,0,0,0,150136,166503,407,1322,159904,196492,8291,149334,196492,198231,0.00885023,916
20,8,1,0,0,0,185907,187740,873,3939,247017,463236,10333,1.17512e+06,463236,463470,0.000505142,2125
20,8,2,0,0,0,179440,181372,884,3923,190048,228448,13375,1.12121e+06,228448,228448,0,3917
20,8,3,0,0,0,203599,204454,1048,4850,203599,204454,11792,549667,204454,204454,0,1875
20,8,4,0,0,0,110482,125416,378,2047,133540,248741,11667,1.32125e+06,248741,250283,0.00619922,3583
20,8,5,0,0,0,145460,166351,659,3611,162594,253667,11042,1.27379e+06,253667,260237,0.0259001,2375
20,10,1,0,0,0,206170,214274,1209,5921,273874,544160,14625,9.46908e+06,544160,545850,0.0031057,4375
20,10,2,0,0,0,213744,221380,967,6041,259193,505196,16416,7.13e+06,505196,505307,0.000219717,3458
20,10,3,0,0,0,206771,208104,1087,6305,215467,258544,13667,6.26388e+06,258544,258544,0,3000
20,10,4,0,0,0,197797,230148,822,4251,219991,340713,11709,6.58638e+06,339678,344925,0.0154001,3292
20,10,5,0,0,0,227235,251147,645,3361,240780,320198,11458,5.20096e+06,319387,321728,0.0073111,2292
20,12,1,0,0,0,185015,226559,890,5513,217945,423730,12625,4.20398e+07,423601,430540,0.016376,4833
20,12,2,0,0,0,253736,302321,1292,7085,265364,361118,13583,3.93312e+07,358517,366086,0.0209599,5708
20,12,3,0,0,0,211330,232862,665,4490,229950,356523,10542,3.0334e+07,355851,358582,0.00766009,4375
20,12,4,0,0,0,241242,249866,914,7572,298824,726588,13583,3.53722e+07,726588,726902,0.000432157,4916
20,12,5,0,0,0,202524,229140,1318,6779,203842,234698,11209,4.06553e+07,231486,235919,0.0188881,5208
20,14,1,0,0,0,297926,312120,1323,8875,312479,407048,13083,3.19119e+08,407048,409745,0.00662575,8666
20,14,2,0,0,0,296747,297713,1531,9261,348801,612518,12000,3.27738e+08,612518,612587,0.00011265,8541
20,14,3,0,0,0,266394,297096,1400,8770,326594,666618,11250,3.37463e+08,657086,674206,0.0256819,8500
20,14,4,0,0,0,242314,272007,821,6245,255450,367996,17000,3.03864e+08,366682,371927,0.0142529,9167
20,14,5,0,0,0,279893,300389,1027,7495,304541,475218,10959,3.35305e+08,475218,480269,0.0106288,8625
20,16,1,0,0,0,292269,333626,1693,9829,349831,657823,14000,3.13705e+09,654230,667812,0.0206469,18750
20,16,2,0,0,0,335188,339238,2154,11499,352420,431074,14875,3.24831e+09,431074,431230,0.000361887,16917
20,16,3,0,0,0,302060,336739,1331,9443,389906,949479,14125,3.31256e+09,945254,959977,0.0155064,19459
20,16,4,0,0,0,350482,391952,1968,11013,456754,974698,14167,3.57907e+09,971992,986654,0.0150426,16208
20,16,5,0,0,0,294628,325871,1129,8756,328498,584226,12541,3.26773e+09,583163,588551,0.00922246,15709
40,4,1,0,0,0,174308,202027,1206,3214,189986,241543,11875,43667,241543,243809,0.00938135,708
40,4,2,0,0,0,136979,189712,244,411,139419,193822,7667,30875,190449,193822,0.0174026,625
40,4,3,0,0,0,168043,203144,657,1553,184468,237824,7250,24125,237824,241969,0.0174289,458
40,4,4,0,0,0,122921,176974,541,838,135905,197086,8000,31625,183086,197086,0.071035,709
40,4,5,0,0,0,189210,230152,1349,3062,240472,337838,7000,23708,337838,346508,0.0256632,417
40,6,1,0,0,0,246044,279182,1227,4145,329480,546975,10334,125292,546595,561042,0.0264125,917
40,6,2,0,0,0,247831,267333,1348,5461,299055,473773,9958,111667,473773,474851,0.00227535,791
40,6,3,0,0,0,263830,309849,845,2705,301010,425732,9667,100625,423234,428869,0.013236,833
40,6,4,0,0,0,198788,234704,652,2270,200744,239501,10917,115000,232048,241514,0.0395238,1042
40,6,5,0,0,0,212763,249405,1327,4743,276459,471861,10792,118125,471861,477069,0.0110371,917
40,8,1,0,0,0,262001,274351,1380,7417,307541,518315,13417,634250,518315,519112,0.00153767,1375
40,8,2,0,0,0,396997,397765,3154,11248,475847,678965,13708,817959,678965,678965,0,1250
40,8,3,0,0,0,376444,379066,2610,11293,436474,638805,14250,748667,638805,638805,0,1458
40,8,4,0,0,0,330260,373985,1296,5336,349700,447350,12959,731292,444878,454025,0.0204471,1375
40,8,5,0,0,0,280539,283381,2620,10520,448219,956661,13000,721250,956661,956661,0,1042
40,10,1,0,0,0,418998,439270,2391,11969,464427,659923,16000,5.68667e+06,659923,666681,0.0102406,2167
40,10,2,0,0,0,308739,329798,2047,11341,433606,1.01826e+06,16250,4.74221e+06,1.01826e+06,1.0216e+06,0.00328011,2667
40,10,3,0,0,0,337721,403455,802,4333,341731,422788,15500,4.57867e+06,417734,425120,0.0174697,2375
40,10,4,0,0,0,392059,431846,1642,9473,457739,808545,15250,4.42921e+06,807552,810766,0.00397504,2791
