I, K, instance, best, random, proportional, heuristic, random (POA), proportional (POA), heuristic (POA),prop_impv,heu_impv,,
20,4,1,358,754,637.337,561.5,2.106145251,1.78027095,1.568435754,0.154725464,0.25530504,0.167026178,0.234511187
20,4,2,380,937,758.741,570,2.465789474,1.996686842,1.5,0.190244397,0.39167556,,
20,4,3,332,713,532.181,498,2.147590361,1.602954819,1.5,0.253603086,0.301542777,,
20,4,4,526,1429,1101.98,809.5,2.716730038,2.095019011,1.538973384,0.228845346,0.433519944,,
20,4,5,582,1480,1221.91,1151,2.542955326,2.099501718,1.97766323,0.174385135,0.222297297,,
40,4,1,1206,3214,2318.27,2061,2.665008292,1.922280265,1.708955224,0.278696329,0.358742999,,
40,4,2,244,411,374.354,366,1.68442623,1.534237705,1.5,0.089163017,0.109489051,,
40,4,3,657,1553,1221.46,985.5,2.363774734,1.859147641,1.5,0.21348358,0.365421764,,
40,4,4,541,838,825.857,811.5,1.548983364,1.526537893,1.5,0.014490453,0.031622912,,
40,4,5,1349,3062,2198.01,2099.5,2.269829503,1.629362491,1.556338028,0.282165251,0.314337035,,
60,4,1,770,1230,1159.52,1155,1.597402597,1.50587013,1.5,0.057300813,0.06097561,,
60,4,2,1682,4368,3666.88,3034,2.596908442,2.180071344,1.803804994,0.160512821,0.30540293,,
60,4,3,1689,3917,2661.29,2533.5,2.319123742,1.575660154,1.5,0.320579525,0.353203983,,
60,4,4,2476,4771,4808.84,4235,1.926898223,1.942180937,1.710420032,-0.007931251,0.11234542,,
60,4,5,3115,6155,5776.24,5893,1.975922953,1.854330658,1.891813804,0.061536962,0.042567019,,
80,4,1,1879,4797,3915.4,2818.5,2.552953699,2.083767962,1.5,0.18378153,0.412445278,,
80,4,2,2074,5330,4386.43,4111,2.569913211,2.114961427,1.982160077,0.177030019,0.228705441,,
80,4,3,1711,4110,3562.69,3417,2.402104033,2.082226768,1.997077732,0.13316545,0.168613139,,
80,4,4,1693,4179,3213.69,2917.5,2.468399291,1.898222091,1.723272298,0.230990668,0.301866475,,
80,4,5,627,1279,960.077,940.5,2.039872408,1.531223285,1.5,0.249353401,0.264659891,,
100,4,1,3210,7639,6627.69,6104,2.379750779,2.064700935,1.901557632,0.132387747,0.200942532,,
100,4,2,2303,4163,3681.6,3454.5,1.807642206,1.598610508,1.5,0.115637761,0.170189767,,
100,4,3,5238,12548,8542.25,10309.5,2.395570829,1.630822833,1.968213058,0.319234141,0.178394963,,
100,4,4,4165,7971,8075.9,7816,1.913805522,1.938991597,1.876590636,-0.013160206,0.01944549,,
100,4,5,2632,6755,5569.95,5005,2.566489362,2.116242401,1.901595745,0.175433013,0.259067358,,
20,6,1,858,3224,2558.44,2396,3.757575758,2.981864802,2.792540793,0.206439206,0.256823821,0.210003886,0.277676741
20,6,2,901,3255,2863.85,2676,3.612652608,3.178523862,2.970033296,0.120168971,0.177880184,,
20,6,3,296,1275,849.968,760,4.307432432,2.871513514,2.567567568,0.333358431,0.403921569,,
20,6,4,721,2572,1919.54,1791.67,3.567267684,2.662330097,2.484979196,0.253678072,0.303394246,,
20,6,5,407,1322,1129.07,943.667,3.248157248,2.774127764,2.318592138,0.145937973,0.2861823,,
40,6,1,1227,4145,3380.57,2979.33,3.378158109,2.755150774,2.428141809,0.184422195,0.28122316,,
40,6,2,1348,5461,3812.33,3613,4.051186944,2.828137982,2.680267062,0.30189892,0.338399561,,
40,6,3,845,2705,2212.03,1867,3.201183432,2.617786982,2.209467456,0.182243993,0.309796673,,
40,6,4,652,2270,1725.06,1377,3.481595092,2.645797546,2.11196319,0.240061674,0.39339207,,
40,6,5,1327,4743,3557.43,3204.33,3.574227581,2.68080633,2.414717408,0.249962049,0.324408602,,
60,6,1,1767,6715,5312.74,4752,3.800226372,3.006644029,2.689303905,0.208825019,0.292330603,,
60,6,2,2461,9424,6898.47,6755,3.829337668,2.803116619,2.744819179,0.267989177,0.283213073,,
60,6,3,728,1747,1577.76,1456,2.399725275,2.167252747,2,0.096874642,0.166571265,,
60,6,4,1422,4857,3940.49,3504,3.415611814,2.771090014,2.464135021,0.188698785,0.278567017,,
60,6,5,1423,5580,3958.35,3548,3.921293043,2.781693605,2.493323963,0.29061828,0.364157706,,
80,6,1,4187,13549,11379.5,11949,3.235968474,2.717817053,2.853833294,0.160122518,0.118089896,,
80,6,2,2694,9017,7451.7,6477.33,3.347067558,2.766035635,2.40435412,0.173594322,0.281653543,,
80,6,3,2601,7516,6947.82,5983,2.889657824,2.671211073,2.300269127,0.075596062,0.203964875,,
80,6,4,2688,9660,8157.2,7346,3.59375,3.034672619,2.732886905,0.155569358,0.239544513,,
80,6,5,4493,14758,11280.8,12573,3.284665034,2.510750056,2.798352994,0.235614582,0.148055292,,
100,6,1,2454,7049,5386.76,5347.67,2.872453138,2.195093725,2.179164629,0.235812172,0.241357639,,
100,6,2,1644,4553,3657.26,3294.33,2.76946472,2.224610706,2.003850365,0.196736218,0.276448495,,
100,6,3,2692,11891,6702.29,6552.67,4.417161961,2.489706538,2.434127043,0.436356068,0.448938693,,
100,6,4,2880,9079,7343.16,6646.67,3.152430556,2.549708333,2.307871528,0.191192863,0.267907259,,
100,6,5,2621,9699,8551.36,7219,3.700495994,3.262632583,2.754292255,0.118325601,0.255696464,,
20,8,1,873,3939,3415.87,3433.5,4.512027491,3.91279496,3.932989691,0.132807819,0.128332064,0.19481611,0.220553994
20,8,2,884,3923,3495.3,3456.5,4.437782805,3.953959276,3.910067873,0.109023706,0.118914096,,
20,8,3,1048,4850,3683.56,4163.5,4.627862595,3.514847328,3.972805344,0.240503093,0.141546392,,
20,8,4,378,2047,1356.33,1131.75,5.415343915,3.588174603,2.994047619,0.33740596,0.447117733,,
20,8,5,659,3611,2189.25,2044.5,5.479514416,3.322078907,3.102427921,0.393727499,0.433813348,,
40,8,1,1380,7417,5367.11,5086.5,5.374637681,3.889210145,3.685869565,0.276377241,0.314210597,,
40,8,2,3154,11248,10074.5,11145.5,3.56626506,3.194197844,3.533766646,0.104329659,0.009112731,,
40,8,3,2610,11293,8969.17,10140.2,4.326819923,3.436463602,3.8851341,0.205776145,0.102080935,,
40,8,4,1296,5336,4742.22,4041,4.117283951,3.65912037,3.118055556,0.111278111,0.242691154,,
40,8,5,2620,10520,9000.89,9879.5,4.015267176,3.435454198,3.770801527,0.144402091,0.06088403,,
60,8,1,2081,8308,6816.62,6324,3.992311389,3.275646324,3.038923594,0.179511314,0.23880597,,
60,8,2,2674,12991,11283.2,10552,4.858264772,4.219596111,3.946148093,0.131460242,0.187745362,,
60,8,3,2932,13691,11027.5,11681.5,4.669508868,3.761084584,3.984140518,0.194543861,0.146775254,,
60,8,4,4806,16701,14889.5,16219.2,3.475031211,3.098106533,3.374781523,0.108466559,0.028848572,,
60,8,5,3092,13304,10965.2,11931,4.302716688,3.546313066,3.858667529,0.175796753,0.103202044,,
80,8,1,1220,4817,3742.18,3050,3.948360656,3.067360656,2.5,0.223130579,0.366825825,,
80,8,2,1842,8161,7316.01,6166.5,4.430510315,3.971775244,3.34771987,0.103540007,0.244394069,,
80,8,3,3238,13006,11684.6,10942.5,4.016676961,3.608585547,3.379400865,0.101599262,0.158657543,,
80,8,4,2128,10295,7162.19,6422.25,4.83787594,3.365690789,3.017974624,0.304304031,0.376177756,,
80,8,5,3999,18608,14091.8,13836,4.653163291,3.523830958,3.459864966,0.242702064,0.256448839,,
100,8,1,4309,19507,15681.9,14867.2,4.527036435,3.639336273,3.450266883,0.196088584,0.237853078,,
100,8,2,3465,17929,14345.6,12343.5,5.174314574,4.1401443,3.562337662,0.199866139,0.311534386,,
100,8,3,3343,17534,13291,11896,5.24498953,3.975770266,3.558480407,0.241986997,0.321546709,,
100,8,4,3837,19108,14565.6,13418.2,4.979932239,3.796090696,3.497054991,0.23772242,0.297770567,,
100,8,5,2717,10075,8321.42,7671.5,3.708133971,3.062723592,2.823518587,0.174052605,0.238560794,,
20,10,1,1209,5921,4884.02,5578.4,4.897435897,4.039718776,4.614061208,0.175135957,0.057861848,0.179599682,0.194501248
20,10,2,967,6041,4846.01,4503,6.247156153,5.011385729,4.656670114,0.197813276,0.25459361,,
20,10,3,1087,6305,5327.84,5373,5.800367985,4.901416743,4.942962282,0.154981761,0.147819191,,
20,10,4,822,4251,3427.91,3101.4,5.171532847,4.170206813,3.772992701,0.193622677,0.270430487,,
20,10,5,645,3361,2923.98,2508,5.210852713,4.533302326,3.888372093,0.130026778,0.253793514,,
40,10,1,2391,11969,9778.03,10689.8,5.005855291,4.089514847,4.470849017,0.183053722,0.106876097,,
40,10,2,2047,11341,8848.21,9239.4,5.540302882,4.322525647,4.513629702,0.219803368,0.185309937,,
40,10,3,802,4333,3288.43,2690,5.402743142,4.100286783,3.354114713,0.241073159,0.379183014,,
40,10,4,1642,9473,7439.26,6801.6,5.769183922,4.530609013,4.14226553,0.214688061,0.282001478,,
40,10,5,2149,12044,9788.23,10466.8,5.604467194,4.55478362,4.870544439,0.187294088,0.130953172,,
60,10,1,4457,21106,17632.4,19617.4,4.735472291,3.956113978,4.401480817,0.164578793,0.070529707,,
60,10,2,3065,17895,13559.9,15021,5.838499184,4.42411093,4.900815661,0.242252026,0.160603521,,
60,10,3,3415,19458,14493,15265.6,5.697803807,4.243923865,4.470161054,0.255164971,0.215458937,,
60,10,4,2537,13083,10666.9,9907,5.156878203,4.204532913,3.905005912,0.184674769,0.242757777,,
60,10,5,3214,17574,15048.6,14824,5.467952707,4.682202862,4.612321095,0.143700922,0.156481165,,
80,10,1,2052,10090,9126.57,7329.6,4.917153996,4.447646199,3.571929825,0.095483647,0.2735778,,
80,10,2,4717,24941,20580.2,20668,5.28747085,4.362984948,4.381598474,0.174844633,0.171324325,,
80,10,3,4407,23586,20727.2,20272.4,5.351940095,4.703244838,4.600045382,0.121207496,0.140490121,,
80,10,4,4224,21746,18684.8,18308,5.148200758,4.423484848,4.334280303,0.140770716,0.158098041,,
80,10,5,3969,24630,18787.7,18675.2,6.205593348,4.733610481,4.70526581,0.237202598,0.241770199,,
100,10,1,4419,26388,21483.4,20903,5.971486762,4.861597647,4.730255714,0.185864787,0.207859633,,
100,10,2,4128,25196,20461.4,18523.2,6.103682171,4.956734496,4.487209302,0.187910779,0.264835688,,
100,10,3,5062,23425,22102.2,21307.2,4.627617542,4.366297906,4.209245358,0.056469584,0.090407684,,
100,10,4,4173,23924,17652.6,17938.8,5.73304577,4.230194105,4.298777858,0.262138438,0.250175556,,
100,10,5,5505,27824,23922.1,23668.8,5.05431426,4.345522252,4.299509537,0.140235049,0.1493387,,
20,12,1,890,5513,4368.11,3948.5,6.194382022,4.907988764,4.436516854,0.20767096,0.283783784,0.18739118,0.183138515
20,12,2,1292,7085,5801.39,5836.17,5.48374613,4.490239938,4.517159443,0.1811729,0.176263938,,
20,12,3,665,4490,3579.86,3090.5,6.751879699,5.38324812,4.647368421,0.202703786,0.31169265,,
20,12,4,914,7572,5337.29,5005,8.284463895,5.839485777,5.475929978,0.295128104,0.33901215,,
20,12,5,1318,6779,5958.99,6266.5,5.14339909,4.521236722,4.754552352,0.120963269,0.075601121,,
40,12,1,2729,15838,12719.6,12955.3,5.803591059,4.660901429,4.747270062,0.196893547,0.182011618,,
40,12,2,1972,12683,9535.5,10030,6.431541582,4.835446247,5.086206897,0.248166837,0.209177639,,
40,12,3,3332,15871,15164.4,16010.9,4.763205282,4.551140456,4.805192077,0.044521454,-0.008814819,,
40,12,4,2506,13512,11594.1,12355,5.391859537,4.626536313,4.930167598,0.141940497,0.08562759,,
40,12,5,2430,17665,13339.2,14080,7.269547325,5.489382716,5.794238683,0.244879706,0.202943674,,
60,12,1,3725,21669,18087.7,18539.2,5.817181208,4.855758389,4.976966443,0.165272971,0.144436753,,
60,12,2,2536,19010,15626,15198.5,7.496056782,6.161671924,5.993099369,0.178011573,0.200499737,,
60,12,3,2698,16820,13771.8,13503,6.234247591,5.104447739,5.004818384,0.181224732,0.197205707,,
60,12,4,3935,22511,19287.3,20535.5,5.720711563,4.901473952,5.218678526,0.143205544,0.087757097,,
60,12,5,4032,22292,20683.3,21631.2,5.528769841,5.129786706,5.364880952,0.072164902,0.029642921,,
80,12,1,4941,27192,23865.3,24822.5,5.503339405,4.830054645,5.023780611,0.12234113,0.0871396,,
80,12,2,4879,30842,23179,24579.2,6.321377331,4.7507686,5.037753638,0.248459892,0.203060761,,
80,12,3,3200,22238,17063.1,15559,6.949375,5.33221875,4.8621875,0.232705279,0.300341757,,
80,12,4,6149,34131,30497.2,34582.5,5.550658644,4.959700764,5.624085217,0.106466262,-0.013228443,,
80,12,5,2673,16201,13354.3,11412.5,6.060980172,4.995997007,4.269547325,0.175711376,0.295568175,,
100,12,1,6038,34268,29888.2,30821,5.675389202,4.950016562,5.104504803,0.127810202,0.100589471,,
100,12,2,5638,34785,28838.1,29599.5,6.169741043,5.114952111,5.25,0.170961621,0.149072876,,
100,12,3,4918,35730,25153.4,23422,7.265148434,5.114558764,4.762505083,0.296014554,0.344472432,,
100,12,4,3714,25442,16582.7,15166.5,6.850296177,4.464916532,4.083602585,0.348215549,0.403879412,,
100,12,5,6376,40012,30722.3,32380.7,6.275407779,4.818428482,5.078528858,0.232172848,0.190725282,,
20,14,1,1323,8875,7483.25,7817.43,6.708238851,5.656273621,5.908866213,0.156816901,0.119162817,0.159954207,0.138376615
20,14,2,1531,9261,8414.37,8799,6.04898759,5.495996081,5.747224037,0.091418853,0.049886621,,
20,14,3,1400,8770,7309.44,7974.43,6.264285714,5.221028571,5.696021429,0.166540479,0.090714937,,
20,14,4,821,6245,4971,4439,7.606577345,6.054811206,5.40682095,0.204003203,0.289191353,,
20,14,5,1027,7495,5744.46,5807.86,7.297955209,5.593437196,5.655170399,0.233561041,0.225102068,,
40,14,1,2331,17219,14104.1,14491.5,7.386958387,6.050664951,6.216859717,0.180899007,0.158400604,,
40,14,2,2228,17104,13110.5,12639.7,7.676840215,5.884425494,5.673114901,0.233483396,0.261009121,,
40,14,3,2753,17943,15881.7,16975.4,6.517617145,5.768870323,6.166146023,0.114880455,0.053926322,,
40,14,4,1863,15456,11660.9,10645.4,8.296296296,6.259205582,5.714117016,0.245542184,0.311244824,,
40,14,5,3857,21978,19867.4,21869.1,5.698211045,5.150998185,5.669976666,0.096032396,0.004954955,,
60,14,1,5407,29340,26722.6,29499,5.426299242,4.942223044,5.455705567,0.089209271,-0.005419223,,
60,14,2,4597,28023,23904.8,24814.7,6.09593213,5.200087013,5.398020448,0.146957856,0.114488099,,
60,14,3,5625,30139,27423.6,30120.5,5.358044444,4.875306667,5.354755556,0.090095889,0.000613823,,
60,14,4,3453,28934,22284.6,21691,8.379380249,6.453692441,6.281783956,0.229812677,0.250328333,,
