I,K,id,gamma, misplace_lb,misplace_ub,misplace,gap,bound_sort,true_sort,i_misplace,i_ub,i_gap,i_percent,i_b_sort,i_true_sort,misplace_lb1,misplace_ub1,misplace1,gap1,bound_sort1,true_sort1,i_misplace1,i_ub1,i_gap1,i_percent1,i_b_sort1,i_true_sort1,misplace_lb2,misplace_ub2,misplace2,gap2,bound_sort2,true_sort2,i_misplace2,i_ub2,i_gap2,i_percent2,i_b_sort2,i_true_sort2
20,4,0,39,358,754,754,0,2,2,561.5,561.5,0,0.255305,2,2,358,260,260,0,2,2,179,179,0,0.311538,2,2,0,494,494,0,2,2,382.5,382.5,0,0.225709,2,2
20,4,1,42,380,937,937,0,0,0,570,570,0,0.391676,0,0,380,319,319,0,0,0,190,190,0,0.404389,0,0,0,618,618,0,0,0,380,380,0,0.385113,1,1
20,4,2,14,332,713,713,0,1,1,498,498,0,0.301543,1,1,332,224,224,0,1,1,166,166,0,0.258929,1,1,0,489,489,0,1,1,332,332,0,0.321063,0,0
20,4,3,12,526,1429,1429,0,3,3,809.5,809.5,0,0.43352,3,3,526,445,445,0,3,3,263,263,0,0.408989,3,3,0,984,984,0,4,4,546.5,546.5,0,0.444614,3,3
20,4,4,49,582,1480,1480,0,4,4,1151,1151,0,0.222297,4,4,582,503,503,0,4,4,291,291,0,0.421471,4,4,0,977,977,0,3,3,860,860,0,0.119754,4,4
20,6,0,65,858,3256,3224,0.00992556,2,2,2396,2396,0,0.256824,2,2,858,1173,1173,0,4,4,858,858,0,0.268542,2,2,0,2083,2051,0.0156021,2,2,1538,1538,0,0.250122,2,2
20,6,1,45,901,3350,3255,0.0291859,4,4,2676,2676,0,0.17788,4,4,901,1312,1217,0.0780608,2,2,901,901,1.26E-16,0.259655,4,4,0,2038,2038,0,4,4,1775,1775,0,0.129048,4,4
20,6,2,20,296,1275,1275,0,3,3,760,760,0,0.403922,3,3,296,513,513,0,3,3,296,296,0,0.423002,3,3,0,762,762,0,3,3,464,464,0,0.391076,3,3
20,6,3,40,721,2572,2572,0,0,0,1791.67,1791.67,0,0.303396,0,0,721,1135,1135,0,0,0,721,721,0,0.364758,0,0,0,1437,1437,0,1,1,1070.67,1070.67,0,0.254929,0,0
20,6,4,24,407,1322,1322,0,1,1,943.667,943.667,0,0.286183,1,1,407,461,461,0,1,1,407,407,1.40E-16,0.117137,1,1,0,861,861,0,0,0,536.667,536.667,0,0.376694,1,1
20,8,0,70,873,4405,3939,0.118304,3,3,3433.5,3433.5,0,0.128332,3,3,873,1867,1824,0.0235746,3,3,1309.5,1309.5,0,0.282072,3,3,0,2538,2115,0.2,3,3,2124,2124,0,-0.00425532,3,3
20,8,1,12,884,4500,3923,0.147081,4,4,3456.5,3473,0.00477361,0.118914,4,4,884,2110,1703,0.23899,4,2,1326,1326,0,0.221374,4,4,0,2390,2220,0.0765766,4,4,2130.5,2147,0.00774466,0.0403153,4,4
20,8,2,0,1048,5443,4850,0.122268,0,1,4163.5,4163.5,0,0.141546,0,0,1048,2065,1599,0.291432,0,4,1572,1572,0,0.0168856,0,0,0,3378,3251,0.0390649,1,0,2591.5,2591.5,0,0.202861,0,0
20,8,3,61,378,2047,2047,0,1,0,1131.75,1131.75,0,0.447118,1,1,378,848,848,0,2,1,567,567,0,0.331368,1,1,0,1199,1199,0,0,1,564.75,564.75,0,0.528982,1,1
20,8,4,26,659,3611,3611,0,2,2,2044.5,2044.5,0,0.433813,2,2,659,1664,1664,0,1,0,988.5,988.5,0,0.40595,2,2,0,1947,1947,0,2,2,1056,1056,0,0.457627,2,2
20,10,0,56,1209,6460,5921,0.0910319,4,4,5578.4,5701,0.0219776,0.0578618,4,4,1209,2995,2627,0.140084,4,4,2418,2418,0,0.0795584,4,4,0,3465,3294,0.0519126,4,4,3160.4,3283,0.0387926,0.0405586,4,4
20,10,1,47,967,6212,6041,0.0283066,3,3,4503,4503,0,0.254594,3,3,967,2587,2446,0.0576451,3,3,1934,1934,-1.18E-16,0.209321,3,3,0,3625,3595,0.00834492,3,3,2569,2569,0,0.285396,3,3
20,10,2,8,1087,6540,6305,0.037272,1,0,5373,5373,0,0.147819,1,1,1087,2601,2553,0.0188014,1,1,2174,2174,-2.09E-16,0.148453,1,1,0,3939,3752,0.0498401,0,0,3199,3199,0,0.147388,1,1
20,10,3,27,822,4283,4251,0.00752764,0,1,3101.4,3101.4,0,0.27043,2,2,822,2439,2412,0.011194,2,2,1644,1644,-1.38E-16,0.318408,2,2,0,1844,1839,0.00271887,1,1,1457.4,1457.4,0,0.207504,2,0
20,10,4,21,645,3361,3361,0,2,2,2508,2508,0,0.253794,0,0,645,1678,1678,0,0,0,1290,1290,0,0.231228,0,0,0,1683,1683,0,2,2,1218,1218,0,0.276292,0,2
20,12,0,37,890,6516,5513,0.181934,2,2,3948.5,3948.5,-2.30E-16,0.283784,2,2,890,3396,2871,0.182863,2,2,2225,2225,-4.09E-16,0.225009,2,2,0,3120,2642,0.180924,2,2,1723.5,1723.5,0,0.347653,2,2
20,12,1,9,1292,8735,7085,0.232886,0,0,5836.17,6015,0.0306423,0.176264,0,0,1292,4621,3787,0.220227,3,0,3230,3230,-1.41E-16,0.147082,0,0,0,4114,3298,0.247423,0,0,2606.17,2785,0.0686193,0.209774,0,0
20,12,2,28,665,4733,4490,0.0541203,3,4,3090.5,3090.5,0,0.311693,3,3,665,2229,2106,0.0584046,0,3,1662.5,1662.5,0,0.210589,3,3,0,2504,2384,0.0503356,4,1,1428,1428,0,0.401007,3,1
20,12,3,63,914,7657,7572,0.0112256,4,1,5005,5005,-1.82E-16,0.339012,1,1,914,3225,3221,0.00124185,4,4,2285,2285,-3.98E-16,0.290593,1,1,0,4432,4351,0.0186164,1,4,2720,2720,0,0.374856,1,3
20,12,4,1,1318,8084,6779,0.192506,1,3,6266.5,6566,0.0477938,0.0756011,4,4,1318,4066,3411,0.192026,1,1,3295,3295,0,0.0340076,4,4,0,4018,3368,0.192993,3,3,2971.5,3271,0.100791,0.117726,4,4
20,14,0,11,1323,9625,8875,0.084507,3,3,7817.43,8414.14,0.0763313,0.119163,3,3,1323,4548,4206,0.0813124,3,3,3650,3969,0.0873973,0.132192,3,3,0,5077,4669,0.0873849,3,3,4167.43,4445.14,0.0666392,0.107426,3,3
20,14,1,34,1531,9927,9261,0.0719145,4,4,8799,8956,0.0178429,0.0498866,4,4,1531,5564,4898,0.135974,0,2,4576,4593,0.00371503,0.0657411,4,4,0,4363,4363,0,4,4,4223,4363,0.0331518,0.032088,4,4
20,14,2,43,1400,10090,8770,0.150513,0,2,7974.43,8204.29,0.0288243,0.0907151,2,0,1400,4839,4051,0.19452,2,4,4119,4200,0.019665,-0.016786,0,0,0,5251,4719,0.112736,1,1,3855.43,4004.29,0.0386098,0.182999,2,2
20,14,3,16,821,6630,6245,0.0616493,1,0,4439,4439,-4.10E-16,0.289191,0,2,821,3261,3130,0.041853,4,0,2463,2463,-7.39E-16,0.213099,2,2,0,3369,3115,0.0815409,0,0,1976,1976,0,0.36565,1,0
20,14,4,24,1027,9093,7495,0.213209,2,1,5807.86,5810.29,0.000418153,0.225102,1,1,1027,4944,4168,0.18618,1,1,3081,3081,1.48E-16,0.260797,1,1,0,4149,3327,0.247069,2,2,2726.86,2729.29,0.000890612,0.180386,0,1
20,16,0,34,1693,11258,9829,0.145386,4,4,9389.75,10942.8,0.165393,0.0446892,4,4,1693,5965,5331,0.118927,4,2,5310.38,5669.12,0.0675564,0.00386888,4,4,0,5293,4498,0.176745,4,4,4079.38,5273.62,0.292753,0.0930691,4,4
20,16,1,8,2154,12088,11499,0.0512218,2,2,11430,11804.5,0.0327647,0.00600052,2,2,2154,6461,5872,0.100307,2,4,5927.5,6177.5,0.0421763,-0.00945163,2,2,0,5627,5627,0,0,0,5502.5,5627,0.0226261,0.0221255,2,2
20,16,2,66,1331,11030,9443,0.168061,0,0,8286.12,8487.25,0.0242725,0.122511,0,0,1331,5728,4769,0.20109,0,0,4658.5,4658.5,0,0.0231705,0,0,0,5302,4674,0.13436,2,2,3627.62,3828.75,0.0554426,0.223871,0,0
20,16,3,54,1968,12598,11013,0.143921,1,3,10829.8,12099,0.1172,0.0166394,1,3,1968,6232,5653,0.102423,3,3,6045.38,6045.38,0,-0.06941,3,1,0,6366,5360,0.187687,1,3,4784.38,6053.62,0.265291,0.107393,1,3
20,16,4,30,1129,9858,8756,0.125857,3,1,6891.5,6891.5,0,0.21294,3,1,1129,5248,4896,0.0718954,1,1,3951.5,3951.5,0,0.192913,1,3,0,4610,3860,0.194301,3,1,2940,2940,0,0.238342,3,1
40,4,0,13,1206,3214,3214,0,1,1,2061,2061,0,0.358743,1,1,1206,1004,1004,0,1,1,603,603,0,0.399402,1,1,0,2210,2210,0,1,1,1458,1458,0,0.340271,1,1
40,4,1,10,244,411,411,0,3,3,366,366,0,0.109489,3,3,244,167,167,0,3,3,122,122,0,0.269461,3,3,0,244,244,0,3,3,244,244,0,0,3,3
