I,K,best_min,best_max,best_ave,worst_min,worst_max,worst_ave,gap_ave
20,4,2.25E+06,5.46E+06,3.48E+06,1.82E+07,3.38E+07,2.66E+07,0%
40,4,2.90E+06,5.74E+06,4.22E+06,2.85E+07,4.48E+07,3.85E+07,0%
60,4,4.65E+06,1.13E+07,8.20E+06,4.01E+07,5.35E+07,4.95E+07,0%
80,4,5.78E+06,1.35E+07,9.25E+06,5.29E+07,2.55E+08,9.95E+07,0%
100,4,8.00E+06,1.85E+07,1.22E+07,5.07E+07,8.34E+07,6.47E+07,0%
20,6,3.13E+06,6.36E+06,4.29E+06,3.49E+08,6.45E+08,4.81E+08,0%
40,6,6.34E+06,2.27E+07,1.08E+07,2.34E+08,1.20E+09,8.15E+08,0%
60,6,9.54E+06,2.60E+07,2.01E+07,1.54E+08,4.64E+09,1.95E+09,0%
80,6,1.21E+07,4.37E+07,2.27E+07,1.95E+08,3.87E+09,2.07E+09,0%
100,6,1.42E+07,4.68E+07,3.72E+07,3.44E+08,7.02E+09,3.41E+09,0%
20,8,5.19E+06,1.39E+07,1.01E+07,8.08E+06,1.31E+11,7.41E+10,0%
40,8,9.56E+06,3.46E+07,2.43E+07,1.00E+09,2.55E+11,8.78E+10,0%
60,8,3.52E+07,4.79E+07,4.04E+07,1.00E+09,3.91E+11,1.44E+11,0%
80,8,3.04E+07,5.37E+07,4.44E+07,1.00E+09,7.68E+11,2.22E+11,0%
100,8,2.96E+07,7.02E+07,5.33E+07,1.00E+09,3.60E+12,1.41E+12,1%
20,10,2.01E+07,3.57E+07,2.88E+07,1.00E+09,3.61E+12,3.60E+12,15.90%
40,10,1.98E+07,5.42E+07,4.31E+07,1.00E+09,3.60E+12,3.05E+12,12.60%
60,10,2.72E+07,6.19E+07,4.85E+07,1.00E+09,3.60E+12,3.60E+12,8.20%
80,10,5.59E+07,1.33E+08,7.84E+07,1.00E+09,3.60E+12,3.60E+12,16.00%
100,10,8.52E+07,1.12E+08,9.49E+07,1.00E+09,3.60E+12,3.60E+12,15.80%
20,12,3.80E+07,5.99E+07,4.81E+07,1.00E+09,3.60E+12,3.60E+12,14.40%
40,12,2.57E+07,5.85E+07,4.97E+07,1.00E+09,3.60E+12,3.60E+12,13.30%
60,12,6.30E+07,8.97E+07,7.27E+07,1.00E+09,3.60E+12,3.60E+12,7.40%
80,12,8.37E+07,1.12E+08,9.71E+07,1.00E+09,3.60E+12,3.60E+12,20.10%
100,12,1.13E+08,2.45E+08,1.50E+08,1.00E+09,3.60E+12,3.60E+12,11.60%
20,14,5.22E+07,5.89E+07,5.57E+07,1.00E+09,3.61E+12,3.60E+12,9.30%
40,14,5.78E+07,7.38E+07,6.84E+07,1.00E+09,3.61E+12,3.60E+12,10.30%
60,14,9.52E+07,1.23E+08,1.05E+08,1.00E+09,3.60E+12,3.60E+12,8.60%
80,14,1.48E+08,1.65E+08,1.55E+08,1.00E+09,3.60E+12,3.60E+12,4.30%
100,14,1.45E+08,2.32E+08,1.81E+08,1.42E+08,3.60E+12,2.88E+12,9.50%
20,16,5.62E+07,6.93E+07,6.19E+07,1.00E+09,3.61E+12,3.60E+12,8.50%
40,16,8.60E+07,2.21E+08,1.21E+08,1.00E+09,3.60E+12,3.60E+12,7.30%
60,16,7.86E+07,1.08E+09,3.51E+08,1.00E+09,3.60E+12,3.60E+12,12.20%
80,16,2.05E+08,1.21E+09,4.99E+08,1.00E+09,3.60E+12,3.60E+12,7.96%
100,16,2.85E+08,9.31E+09,2.20E+09,1.00E+09,3.65E+12,3.61E+12,26.53%
