I,K,best_min,best_max,best_ave,worst_min,worst_max,worst_ave,gap_ave
20,4,0,0,0,1.41242e+07,4.31631e+07,2.13104e+07,0
40,4,0,0,0,1.00729e+07,3.2646e+07,2.0917e+07,0
60,4,0,0,0,3.64219e+07,4.5884e+07,4.05512e+07,0
80,4,0,0,0,5.12947e+07,6.2755e+07,5.6717e+07,0
100,4,0,0,0,4.96658e+07,5.50651e+07,5.24781e+07,0
20,6,0,0,0,3.32654e+08,8.77882e+08,5.46256e+08,0
40,6,0,0,0,1.63526e+08,1.08571e+09,7.72698e+08,0
60,6,0,0,0,8.12525e+07,2.00314e+09,1.38513e+09,0
80,6,0,0,0,2.80534e+08,2.658e+09,1.41968e+09,0
100,6,0,0,0,1.98814e+08,2.52377e+09,1.43057e+09,0
20,8,0,0,0,1e+09,1.35092e+11,5.99603e+10,0
40,8,0,0,0,1e+09,2.37384e+11,8.70996e+10,0
60,8,0,0,0,1e+09,1.34367e+11,7.51794e+10,0
80,8,0,0,0,1e+09,3.14794e+11,1.8119e+11,0
100,8,0,0,0,1e+09,9.37904e+11,4.5644e+11,0
20,10,0,0,0,0,0,0,0
40,10,0,0,0,0,1.24516e+12,2.49033e+11,0
60,10,0,0,0,0,0,0,0
80,10,0,0,0,0,0,0,0
100,10,0,0,0,0,0,0,0
20,12,0,0,0,0,0,0,0
40,12,0,0,0,0,0,0,0
60,12,0,0,0,0,0,0,0
80,12,0,0,0,0,0,0,0
