I,K,best_min,best_max,best_ave,worst_min,worst_max,worst_ave,gap_ave
20,4,0,0,0,0,0,0,0
40,4,0,0,0,0,0,0,0
60,4,0,0,0,0,0,0,0
80,4,0,0,0,0,0,0,0
100,4,0,0,0,0,0,0,0
20,6,0,0,0,0,0,0,0
40,6,0,0,0,0,0,0,0
60,6,0,0,0,0,0,0,0
80,6,0,0,0,0,0,0,0
100,6,0,0,0,0,0,0,0
20,8,0,0,0,0,0,0,0
40,8,0,0,0,0,0,0,0
60,8,0,0,0,0,0,0,0
80,8,0,0,0,0,0,0,0
100,8,0,0,0,0,0,0,0
20,10,0,0,0,0,0,0,0
40,10,0,0,0,0,0,0,0
60,10,0,0,0,0,0,0,0
80,10,0,0,0,0,0,0,0
100,10,0,0,0,0,0,0,0
20,12,0,0,0,0,0,0,0
40,12,0,0,0,0,0,0,0
60,12,0,0,0,0,0,0,0
80,12,0,0,0,0,0,0,0
100,12,0,0,0,0,0,0,0
20,14,0,0,0,0,0,0,0
40,14,0,0,0,0,0,0,0
60,14,0,0,0,0,0,0,0
80,14,0,0,0,0,0,0,0
100,14,0,0,0,0,0,0,0
20,16,0,0,0,0,0,0,0
40,16,0,0,0,0,0,0,0
60,16,0,0,0,0,0,0,0
80,16,0,0,0,0,0,0,0
100,16,0,0,0,0,0,0,0
