I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, mip_gap, time_best, time_worst
20,4,1,0,0,0,0,0,0,754,0,0,0,0,1.42708e+07
20,4,2,0,0,0,0,0,0,937,0,0,0,0,7.62821e+06
20,4,3,0,0,0,0,0,0,713,0,0,0,0,1.67903e+07
20,4,4,0,0,0,0,0,0,1429,0,0,0,0,7.1385e+06
20,4,5,0,0,0,0,0,0,1480,0,0,0,0,8.13267e+06
40,4,1,0,0,0,0,0,0,3214,0,0,0,0,7.68625e+06
40,4,2,0,0,0,0,0,0,411,0,0,0,0,3.05796e+06
40,4,3,0,0,0,0,0,0,1553,0,0,0,0,6.37771e+06
40,4,4,0,0,0,0,0,0,838,0,0,0,0,3.07512e+06
40,4,5,0,0,0,0,0,0,3062,0,0,0,0,8.58625e+06
60,4,1,0,0,0,0,0,0,1230,0,0,0,0,9.39458e+06
60,4,2,0,0,0,0,0,0,4368,0,0,0,0,5.62488e+06
60,4,3,0,0,0,0,0,0,3917,0,0,0,0,5.81396e+06
60,4,4,0,0,0,0,0,0,4771,0,0,0,0,1.94291e+07
60,4,5,0,0,0,0,0,0,6155,0,0,0,0,7.326e+06
80,4,1,0,0,0,0,0,0,4797,0,0,0,0,6.60642e+06
80,4,2,0,0,0,0,0,0,5330,0,0,0,0,8.01558e+06
80,4,3,0,0,0,0,0,0,4110,0,0,0,0,6.25854e+06
80,4,4,0,0,0,0,0,0,4179,0,0,0,0,5.13517e+06
80,4,5,0,0,0,0,0,0,1279,0,0,0,0,8.83921e+06
100,4,1,0,0,0,0,0,0,7639,0,0,0,0,1.34096e+07
100,4,2,0,0,0,0,0,0,4163,0,0,0,0,7.69208e+06
100,4,3,0,0,0,0,0,0,12548,0,0,0,0,7.34967e+06
100,4,4,0,0,0,0,0,0,7971,0,0,0,0,5.49704e+06
100,4,5,0,0,0,0,0,0,6755,0,0,0,0,5.34604e+06
20,6,1,0,0,0,0,0,0,3224,0,0,0,0,6.29627e+07
20,6,2,0,0,0,0,0,0,3255,0,0,0,0,8.49939e+07
20,6,3,0,0,0,0,0,0,1275,0,0,0,0,7.32482e+07
