I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, mip_gap, time_best, time_worst
20,4,1,0,0,0,109215,119753,358,3709,123177,264404,0,0,0
20,4,2,0,0,0,98239,113831,380,3252,114199,250415,0,0,0
20,4,3,0,0,0,77479,88565,332,3207,82127,133463,0,0,0
20,4,4,0,0,0,122253,134356,526,3615,128565,177736,0,0,0
20,4,5,0,0,0,125303,126278,582,3900,153821,317378,0,0,0
40,4,1,0,0,0,174308,199761,1206,7277,189986,294362,0,0,0
40,4,2,0,0,0,136979,189712,244,4289,139419,232602,0,0,0
40,4,3,0,0,0,168043,198999,657,6743,184468,367574,0,0,0
40,4,4,0,0,0,122921,176974,541,4753,135905,291046,0,0,0
40,4,5,0,0,0,189210,221482,1349,7723,240472,514956,0,0,0
60,4,1,0,0,0,272921,316257,770,10112,309881,801633,0,0,0
60,4,2,0,0,0,283925,309239,1682,11322,297381,399815,0,0,0
60,4,3,0,0,0,271974,319055,1689,11251,324333,667836,0,0,0
60,4,4,0,0,0,282361,329226,2476,11229,421017,958050,0,0,0
60,4,5,0,0,0,338288,364653,3115,11688,553223,1.17112e+06,0,0,0
80,4,1,0,0,0,355656,419785,1879,13712,434574,995689,0,0,0
80,4,2,0,0,0,418869,422421,2074,13929,535013,1.20244e+06,0,0,0
80,4,3,0,0,0,376253,376743,1711,13867,485757,1.26423e+06,0,0,0
80,4,4,0,0,0,434326,473053,1693,14051,483423,880532,0,0,0
80,4,5,0,0,0,407387,451736,627,13682,431213,971652,0,0,0
100,4,1,0,0,0,529395,556964,3210,19077,699525,1.56804e+06,0,0,0
100,4,2,0,0,0,435252,565125,2303,13261,462888,724257,0,0,0
100,4,3,0,0,0,505378,521605,5238,21616,720136,1.40786e+06,0,0,0
100,4,4,0,0,0,483011,526812,4165,17693,499671,597584,0,0,0
100,4,5,0,0,0,497432,521297,2632,18338,526384,723015,0,0,0
20,6,1,0,0,0,162571,170007,858,5247,218341,511062,0,0,0
20,6,2,0,0,0,142400,143588,901,5427,182945,387803,0,0,0
20,6,3,0,0,0,135361,141092,296,4846,141281,238012,0,0,0
20,6,4,0,0,0,118384,130490,721,4807,147224,322770,0,0,0
20,6,5,0,0,0,150136,164764,407,4722,159904,278092,0,0,0
40,6,1,0,0,0,246044,264735,1227,9642,329480,920391,0,0,0
40,6,2,0,0,0,247831,266255,1348,10497,299055,665141,0,0,0
40,6,3,0,0,0,263830,306712,845,8252,301010,669800,0,0,0
40,6,4,0,0,0,198788,232118,652,7195,200744,253703,0,0,0
40,6,5,0,0,0,212763,244197,1327,9557,276459,702933,0,0,0
60,6,1,0,0,0,440212,462915,1767,15327,533863,1.27525e+06,0,0,0
60,6,2,0,0,0,454248,479626,2461,16555,577298,1.30738e+06,0,0,0
60,6,3,0,0,0,385427,455498,728,10108,434931,1.14284e+06,0,0,0
60,6,4,0,0,0,374229,408769,1422,12589,391293,559837,0,0,0
60,6,5,0,0,0,311213,337178,1423,12081,321174,421745,0,0,0
80,6,1,0,0,0,499699,524147,4187,20145,633683,1.16879e+06,0,0,0
80,6,2,0,0,0,496843,580900,2694,12274,499537,593174,0,0,0
80,6,3,0,0,0,438431,530138,2601,14963,604895,1.48777e+06,0,0,0
80,6,4,0,0,0,586669,617601,2688,20415,707629,1.53628e+06,0,0,0
80,6,5,0,0,0,551890,588896,4493,22330,709145,1.37045e+06,0,0,0
100,6,1,0,0,0,610922,715209,2454,22664,785156,2.32435e+06,0,0,0
100,6,2,0,0,0,443809,568299,1644,18743,545737,1.73036e+06,0,0,0
100,6,3,0,0,0,574651,637760,2692,23786,617723,1.01834e+06,0,0,0
100,6,4,0,0,0,593714,687728,2880,24178,671474,1.34053e+06,0,0,0
100,6,5,0,0,0,704316,732553,2621,25265,837987,2.02107e+06,0,0,0
20,8,1,0,0,0,185907,186843,873,5706,247017,586263,0,0,0
20,8,2,0,0,0,179440,181372,884,5377,190048,245896,0,0,0
20,8,3,0,0,0,203599,204454,2959,2959,203599,204454,0,0,0
20,8,4,0,0,0,110482,123874,378,4274,133540,384588,0,0,0
20,8,5,0,0,0,145460,159781,659,6147,162594,319603,0,0,0
40,8,1,0,0,0,262001,273554,1380,10741,307541,628007,0,0,0
40,8,2,0,0,0,396997,397765,3154,13788,475847,742465,0,0,0
40,8,3,0,0,0,376444,379066,2610,14977,436474,723537,0,0,0
40,8,4,0,0,0,330260,367273,1296,11135,349700,534298,0,0,0
40,8,5,0,0,0,280539,283381,2620,13373,448219,1.13925e+06,0,0,0
60,8,1,0,0,0,327800,406782,2081,11404,334043,440994,0,0,0
60,8,2,0,0,0,538359,542465,2674,20342,677407,1.60025e+06,0,0,0
60,8,3,0,0,0,464328,465816,2932,18360,537628,924816,0,0,0
60,8,4,0,0,0,457794,478574,4806,21145,601974,1.11292e+06,0,0,0
60,8,5,0,0,0,495020,497421,3092,18087,705276,1.72734e+06,0,0,0
80,8,1,0,0,0,510705,644701,1220,17870,522905,823401,0,0,0
80,8,2,0,0,0,570790,612129,1842,19499,659206,1.54808e+06,0,0,0
80,8,3,0,0,0,604274,662831,3238,21885,665796,1.07865e+06,0,0,0
80,8,4,0,0,0,485161,549479,2128,17711,497929,655745,0,0,0
80,8,5,0,0,0,594721,644108,3999,26688,694696,1.31131e+06,0,0,0
100,8,1,0,0,0,658301,724654,4309,26704,778953,1.47237e+06,0,0,0
100,8,2,0,0,0,774107,818612,3465,30963,819152,1.22113e+06,0,0,0
100,8,3,0,0,0,767974,809106,3343,30909,788032,994560,0,0,0
100,8,4,0,0,0,837697,893962,3837,29574,853045,1.01226e+06,0,0,0
100,8,5,0,0,0,716148,854520,2717,26399,851998,2.17447e+06,0,0,0
20,10,1,0,0,0,206170,212584,1209,7433,273874,628832,0,0,0
20,10,2,0,0,0,213744,221269,967,8629,259193,626832,0,0,0
20,10,3,0,0,0,206771,207918,1087,8497,215467,275894,0,0,0
20,10,4,0,0,0,197797,224901,822,7295,219991,421866,0,0,0
20,10,5,0,0,0,227235,249617,645,7344,240780,403841,0,0,0
40,10,1,0,0,0,418998,432512,2391,14886,464427,715346,0,0,0
40,10,2,0,0,0,308739,326458,2047,13824,433606,1.16972e+06,0,0,0
40,10,3,0,0,0,337721,400118,802,9985,341731,450043,0,0,0
40,10,4,0,0,0,392059,429839,1642,14080,457739,993039,0,0,0
40,10,5,0,0,0,367146,373172,2149,15253,502533,1.33411e+06,0,0,0
60,10,1,0,0,0,648030,651000,4457,25233,861966,1.86218e+06,0,0,0
60,10,2,0,0,0,534812,537560,3065,22226,593047,959854,0,0,0
60,10,3,0,0,0,539072,573255,3415,22901,624447,1.14578e+06,0,0,0
60,10,4,0,0,0,498400,582343,2537,18762,528844,807487,0,0,0
60,10,5,0,0,0,647346,672557,3214,23936,656988,744365,0,0,0
80,10,1,0,0,0,748298,847600,2052,24821,863210,2.23758e+06,0,0,0
80,10,2,0,0,0,720308,779611,4717,30072,734459,869827,0,0,0
80,10,3,0,0,0,801968,807776,4407,29838,1.01791e+06,2.26984e+06,0,0,0
80,10,4,0,0,0,781274,832532,4224,28977,950234,1.99161e+06,0,0,0
80,10,5,0,0,0,823822,847251,3969,31285,887326,1.34781e+06,0,0,0
100,10,1,0,0,0,1.09021e+06,1.11542e+06,4419,42632,1.09904e+06,1.20068e+06,0,0,0
100,10,2,0,0,0,1.07259e+06,1.11858e+06,4128,36902,1.25422e+06,2.74226e+06,0,0,0
100,10,3,0,0,0,915076,1.00879e+06,5062,35594,1.1783e+06,2.85967e+06,0,0,0
100,10,4,0,0,0,872723,933722,4173,34217,918626,1.31011e+06,0,0,0
100,10,5,0,0,0,924087,1.00827e+06,5505,36580,1.14429e+06,2.47147e+06,0,0,0
20,12,1,0,0,0,185015,219620,890,8046,217945,517322,0,0,0
20,12,2,0,0,0,253736,299432,1292,8269,265364,373853,0,0,0
20,12,3,0,0,0,211330,230826,665,8017,229950,455302,0,0,0
20,12,4,0,0,0,241242,249552,914,9675,298824,859077,0,0,0
20,12,5,0,0,0,202524,228421,1318,7823,203842,236244,0,0,0
40,12,1,0,0,0,487107,529463,2729,20814,612641,1.48691e+06,0,0,0
40,12,2,0,0,0,352192,376233,1972,15579,468540,1.29539e+06,0,0,0
40,12,3,0,0,0,470954,471612,3332,17987,684202,1.62278e+06,0,0,0
40,12,4,0,0,0,398848,444031,2506,16680,561738,1.52823e+06,0,0,0
40,12,5,0,0,0,548554,557932,2430,21762,611734,1.12374e+06,0,0,0
60,12,1,0,0,0,701200,751032,3725,26841,734725,992601,0,0,0
60,12,2,0,0,0,740984,741292,2536,24201,763808,959101,0,0,0
60,12,3,0,0,0,567454,615585,2698,21792,632206,1.13859e+06,0,0,0
60,12,4,0,0,0,656309,663056,3935,26364,679919,821240,0,0,0
60,12,5,0,0,0,779236,784801,4032,27952,924388,1.79107e+06,0,0,0
80,12,1,0,0,0,898269,969630,4941,34686,992148,1.62866e+06,0,0,0
80,12,2,0,0,0,723093,789096,4879,35142,976801,2.61648e+06,0,0,0
80,12,3,0,0,0,809157,885701,3200,33135,959557,2.44305e+06,0,0,0
80,12,4,0,0,0,986835,1.00588e+06,6149,41152,1.36807e+06,3.55731e+06,0,0,0
80,12,5,0,0,0,781339,897493,2673,28029,971122,2.88755e+06,0,0,0
100,12,1,0,0,0,1.01394e+06,1.08716e+06,6038,42581,1.41849e+06,3.94009e+06,0,0,0
100,12,2,0,0,0,1.07117e+06,1.12902e+06,5638,45401,1.47147e+06,4.35249e+06,0,0,0
100,12,3,0,0,0,1.13607e+06,1.27782e+06,4918,44876,1.15082e+06,1.41245e+06,0,0,0
100,12,4,0,0,0,900706,1.10716e+06,3714,37919,974986,1.86554e+06,0,0,0
