I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, mip_gap, time_best, time_worst
20,4,1,0,0,0,109005,0,0,0,0,253954,0,0,0
20,4,2,0,0,0,94909,0,0,0,0,225140,0,0,0
20,4,3,0,0,0,72836,0,0,0,0,135205,0,0,0
20,4,4,0,0,0,120499,0,0,0,0,173853,0,0,0
20,4,5,0,0,0,125303,0,0,0,0,301025,0,0,0
40,4,1,0,0,0,172017,0,0,0,0,276714,0,0,0
40,4,2,0,0,0,121044,0,0,0,0,245284,0,0,0
40,4,3,0,0,0,160146,0,0,0,0,342366,0,0,0
40,4,4,0,0,0,112149,0,0,0,0,291092,0,0,0
40,4,5,0,0,0,186121,0,0,0,0,454303,0,0,0
60,4,1,0,0,0,270207,0,0,0,0,749063,0,0,0
60,4,2,0,0,0,281510,0,0,0,0,386622,0,0,0
60,4,3,0,0,0,263820,0,0,0,0,600980,0,0,0
60,4,4,0,0,0,279422,0,0,0,0,854497,0,0,0
60,4,5,0,0,0,337442,0,0,0,0,1.02498e+06,0,0,0
80,4,1,0,0,0,346831,0,0,0,0,892542,0,0,0
80,4,2,0,0,0,418869,0,0,0,0,1.12712e+06,0,0,0
80,4,3,0,0,0,376253,0,0,0,0,1.19998e+06,0,0,0
80,4,4,0,0,0,433598,0,0,0,0,839883,0,0,0
80,4,5,0,0,0,404705,0,0,0,0,928157,0,0,0
100,4,1,0,0,0,528689,0,0,0,0,1.43286e+06,0,0,0
100,4,2,0,0,0,423823,0,0,0,0,737061,0,0,0
100,4,3,0,0,0,505378,0,0,0,0,1.20787e+06,0,0,0
100,4,4,0,0,0,481250,0,0,0,0,590064,0,0,0
100,4,5,0,0,0,497135,0,0,0,0,701304,0,0,0
20,6,1,0,0,0,162355,0,0,0,0,487062,0,0,0
20,6,2,0,0,0,142400,0,0,0,0,375590,0,0,0
20,6,3,0,0,0,135188,0,0,0,0,231484,0,0,0
20,6,4,0,0,0,117724,0,0,0,0,301959,0,0,0
20,6,5,0,0,0,149466,0,0,0,0,271432,0,0,0
40,6,1,0,0,0,244418,0,0,0,0,865915,0,0,0
40,6,2,0,0,0,247417,0,0,0,0,629482,0,0,0
40,6,3,0,0,0,259420,0,0,0,0,718498,0,0,0
40,6,4,0,0,0,194985,0,0,0,0,261189,0,0,0
40,6,5,0,0,0,209560,0,0,0,0,662964,0,0,0
60,6,1,0,0,0,439934,0,0,0,0,1.25599e+06,0,0,0
60,6,2,0,0,0,453919,0,0,0,0,1.21023e+06,0,0,0
