I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, mip_gap, time_best, time_worst
20,4,1,121268,4453,294935,0,0,0,0,0,0,0,0,0
20,4,2,123855,3425,267705,0,0,0,0,0,0,0,0,0
20,4,3,105680,3227,150858,0,0,0,0,0,0,0,0,0
20,4,4,137696,3994,185624,0,0,0,0,0,0,0,0,0
20,4,5,126291,4644,353847,0,0,0,0,0,0,0,0,0
40,4,1,203720,7700,303820,0,0,0,0,0,0,0,0,0
40,4,2,209384,6145,270834,0,0,0,0,0,0,0,0,0
40,4,3,207930,7385,392555,0,0,0,0,0,0,0,0,0
40,4,4,187709,6474,343085,0,0,0,0,0,0,0,0,0
40,4,5,236206,7880,535646,0,0,0,0,0,0,0,0,0
60,4,1,323321,12069,902633,0,0,0,0,0,0,0,0,0
60,4,2,311072,12509,411144,0,0,0,0,0,0,0,0,0
60,4,3,343716,11319,694605,0,0,0,0,0,0,0,0,0
60,4,4,343846,12312,1.03332e+06,0,0,0,0,0,0,0,0,0
60,4,5,367444,12778,1.24913e+06,0,0,0,0,0,0,0,0,0
80,4,1,437187,14863,1.06143e+06,0,0,0,0,0,0,0,0,0
80,4,2,422421,16585,1.35118e+06,0,0,0,0,0,0,0,0,0
80,4,3,376743,16967,1.46263e+06,0,0,0,0,0,0,0,0,0
80,4,4,476856,16779,963447,0,0,0,0,0,0,0,0,0
80,4,5,458026,16795,1.09624e+06,0,0,0,0,0,0,0,0,0
100,4,1,558816,21927,1.72095e+06,0,0,0,0,0,0,0,0,0
100,4,2,585658,18513,807814,0,0,0,0,0,0,0,0,0
100,4,3,521695,22265,1.43456e+06,0,0,0,0,0,0,0,0,0
100,4,4,530701,20148,611293,0,0,0,0,0,0,0,0,0
100,4,5,522169,21528,758977,0,0,0,0,0,0,0,0,0
20,6,1,170187,5514,528597,0,0,0,0,0,0,0,0,0
20,6,2,143615,5922,410105,0,0,0,0,0,0,0,0,0
20,6,3,141204,5239,245984,0,0,0,0,0,0,0,0,0
20,6,4,134111,4966,332751,0,0,0,0,0,0,0,0,0
20,6,5,168514,5085,290554,0,0,0,0,0,0,0,0,0
40,6,1,280927,9918,955351,0,0,0,0,0,0,0,0,0
40,6,2,267874,10907,682340,0,0,0,0,0,0,0,0,0
40,6,3,313414,10507,775722,0,0,0,0,0,0,0,0,0
40,6,4,238602,9060,265782,0,0,0,0,0,0,0,0,0
40,6,5,250100,10093,734564,0,0,0,0,0,0,0,0,0
60,6,1,465814,17286,1.38197e+06,0,0,0,0,0,0,0,0,0
60,6,2,482828,17052,1.33543e+06,0,0,0,0,0,0,0,0,0
60,6,3,462328,15009,1.48294e+06,0,0,0,0,0,0,0,0,0
60,6,4,413721,13931,580893,0,0,0,0,0,0,0,0,0
60,6,5,343811,12490,431241,0,0,0,0,0,0,0,0,0
80,6,1,527218,20587,1.186e+06,0,0,0,0,0,0,0,0,0
80,6,2,586092,19988,606080,0,0,0,0,0,0,0,0,0
80,6,3,549522,18365,1.72488e+06,0,0,0,0,0,0,0,0,0
80,6,4,620597,22385,1.62792e+06,0,0,0,0,0,0,0,0,0
80,6,5,593314,22391,1.377e+06,0,0,0,0,0,0,0,0,0
100,6,1,750005,27253,2.68497e+06,0,0,0,0,0,0,0,0,0
100,6,2,578191,24344,2.08752e+06,0,0,0,0,0,0,0,0,0
100,6,3,652612,24306,1.04151e+06,0,0,0,0,0,0,0,0,0
100,6,4,730823,25496,1.41922e+06,0,0,0,0,0,0,0,0,0
100,6,5,735273,27578,2.14175e+06,0,0,0,0,0,0,0,0,0
20,8,1,187740,5951,604310,0,0,0,0,0,0,0,0,0
20,8,2,181372,5880,251932,0,0,0,0,0,0,0,0,0
20,8,3,204454,6543,204454,0,0,0,0,0,0,0,0,0
20,8,4,127782,4860,424242,0,0,0,0,0,0,0,0,0
20,8,5,166772,6160,326932,0,0,0,0,0,0,0,0,0
40,8,1,275262,11278,647436,0,0,0,0,0,0,0,0,0
40,8,2,397765,13872,744565,0,0,0,0,0,0,0,0,0
40,8,3,379066,15035,724871,0,0,0,0,0,0,0,0,0
40,8,4,375680,12797,567635,0,0,0,0,0,0,0,0,0
40,8,5,283381,13747,1.16319e+06,0,0,0,0,0,0,0,0,0
60,8,1,414639,14965,459534,0,0,0,0,0,0,0,0,0
60,8,2,542967,21261,1.64854e+06,0,0,0,0,0,0,0,0,0
60,8,3,465816,18908,938516,0,0,0,0,0,0,0,0,0
60,8,4,479659,21192,1.11542e+06,0,0,0,0,0,0,0,0,0
60,8,5,497421,18540,1.75814e+06,0,0,0,0,0,0,0,0,0
80,8,1,666464,24137,907834,0,0,0,0,0,0,0,0,0
80,8,2,616079,21480,1.64712e+06,0,0,0,0,0,0,0,0,0
80,8,3,678237,23725,1.12901e+06,0,0,0,0,0,0,0,0,0
80,8,4,568943,19138,683771,0,0,0,0,0,0,0,0,0
80,8,5,663961,27037,1.33989e+06,0,0,0,0,0,0,0,0,0
100,8,1,735858,29074,1.54993e+06,0,0,0,0,0,0,0,0,0
100,8,2,821899,34150,1.26585e+06,0,0,0,0,0,0,0,0,0
100,8,3,813758,33467,1.01456e+06,0,0,0,0,0,0,0,0,0
100,8,4,900062,32527,1.03017e+06,0,0,0,0,0,0,0,0,0
100,8,5,909838,30051,2.41239e+06,0,0,0,0,0,0,0,0,0
20,10,1,214598,7434,630902,0,0,0,0,0,0,0,0,0
20,10,2,221380,9131,650537,0,0,0,0,0,0,0,0,0
20,10,3,208104,8699,277696,0,0,0,0,0,0,0,0,0
20,10,4,233366,8513,463217,0,0,0,0,0,0,0,0,0
20,10,5,252743,8566,432629,0,0,0,0,0,0,0,0,0
40,10,1,439456,14923,722993,0,0,0,0,0,0,0,0,0
40,10,2,329886,13918,1.17888e+06,0,0,0,0,0,0,0,0,0
40,10,3,410949,13141,476654,0,0,0,0,0,0,0,0,0
40,10,4,432495,16331,1.08574e+06,0,0,0,0,0,0,0,0,0
40,10,5,373679,15636,1.35875e+06,0,0,0,0,0,0,0,0,0
60,10,1,651072,25251,1.86312e+06,0,0,0,0,0,0,0,0,0
60,10,2,537596,22254,960422,0,0,0,0,0,0,0,0,0
60,10,3,578344,23084,1.15544e+06,0,0,0,0,0,0,0,0,0
60,10,4,592420,21519,850648,0,0,0,0,0,0,0,0,0
60,10,5,676402,24832,750898,0,0,0,0,0,0,0,0,0
80,10,1,869385,30184,2.55969e+06,0,0,0,0,0,0,0,0,0
80,10,2,784732,32397,881923,0,0,0,0,0,0,0,0,0
80,10,3,807824,31029,2.32824e+06,0,0,0,0,0,0,0,0,0
80,10,4,844169,31381,2.09941e+06,0,0,0,0,0,0,0,0,0
80,10,5,849807,31953,1.36106e+06,0,0,0,0,0,0,0,0,0
100,10,1,1.11821e+06,44238,1.20669e+06,0,0,0,0,0,0,0,0,0
100,10,2,1.12455e+06,40019,2.88539e+06,0,0,0,0,0,0,0,0,0
100,10,3,1.02933e+06,39275,3.07163e+06,0,0,0,0,0,0,0,0,0
100,10,4,952488,34644,1.33357e+06,0,0,0,0,0,0,0,0,0
100,10,5,1.03037e+06,39091,2.59401e+06,0,0,0,0,0,0,0,0,0
20,12,1,229765,8501,544302,0,0,0,0,0,0,0,0,0
20,12,2,304263,9540,390123,0,0,0,0,0,0,0,0,0
20,12,3,233279,8878,481863,0,0,0,0,0,0,0,0,0
20,12,4,249866,9985,878921,0,0,0,0,0,0,0,0,0
20,12,5,229896,9099,238995,0,0,0,0,0,0,0,0,0
40,12,1,562382,21086,1.53234e+06,0,0,0,0,0,0,0,0,0
40,12,2,383401,15739,1.312e+06,0,0,0,0,0,0,0,0,0
40,12,3,471612,18800,1.67481e+06,0,0,0,0,0,0,0,0,0
40,12,4,461943,17496,1.59918e+06,0,0,0,0,0,0,0,0,0
40,12,5,558340,21885,1.12735e+06,0,0,0,0,0,0,0,0,0
60,12,1,765526,27968,1.01724e+06,0,0,0,0,0,0,0,0,0
60,12,2,741313,25210,968203,0,0,0,0,0,0,0,0,0
60,12,3,625741,23755,1.19586e+06,0,0,0,0,0,0,0,0,0
60,12,4,663610,26538,822838,0,0,0,0,0,0,0,0,0
60,12,5,786051,28753,1.82116e+06,0,0,0,0,0,0,0,0,0
80,12,1,992273,36341,1.68275e+06,0,0,0,0,0,0,0,0,0
80,12,2,799201,35318,2.63574e+06,0,0,0,0,0,0,0,0,0
80,12,3,904007,34477,2.52443e+06,0,0,0,0,0,0,0,0,0
80,12,4,1.00676e+06,41455,3.57697e+06,0,0,0,0,0,0,0,0,0
80,12,5,926481,33724,3.32088e+06,0,0,0,0,0,0,0,0,0
100,12,1,1.098e+06,44405,4.07313e+06,0,0,0,0,0,0,0,0,0
100,12,2,1.14298e+06,46185,4.42212e+06,0,0,0,0,0,0,0,0,0
100,12,3,1.29612e+06,50214,1.44676e+06,0,0,0,0,0,0,0,0,0
100,12,4,1.15717e+06,44512,2.04741e+06,0,0,0,0,0,0,0,0,0
100,12,5,1.3216e+06,47229,1.69943e+06,0,0,0,0,0,0,0,0,0
20,14,1,312174,10478,427432,0,0,0,0,0,0,0,0,0
20,14,2,297713,10615,658623,0,0,0,0,0,0,0,0,0
20,14,3,297926,10665,756521,0,0,0,0,0,0,0,0,0
20,14,4,272180,10418,438868,0,0,0,0,0,0,0,0,0
20,14,5,301935,10458,552927,0,0,0,0,0,0,0,0,0
40,14,1,581152,21657,1.62069e+06,0,0,0,0,0,0,0,0,0
40,14,2,572077,22877,2.10484e+06,0,0,0,0,0,0,0,0,0
40,14,3,580607,21652,991995,0,0,0,0,0,0,0,0,0
40,14,4,545279,22301,902095,0,0,0,0,0,0,0,0,0
40,14,5,682376,24856,2.07431e+06,0,0,0,0,0,0,0,0,0
60,14,1,736012,34146,2.40917e+06,0,0,0,0,0,0,0,0,0
60,14,2,908827,35299,1.26182e+06,0,0,0,0,0,0,0,0,0
60,14,3,923880,34013,957893,0,0,0,0,0,0,0,0,0
60,14,4,904613,35822,2.94647e+06,0,0,0,0,0,0,0,0,0
60,14,5,862307,30328,2.53035e+06,0,0,0,0,0,0,0,0,0
