I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound
20,16,1,0,0,0,327911,334941,1135,8987,350611,514008,47375,3.27085e+10,513420,514681,0.00245327,27458
20,16,2,0,0,0,226025,245644,1640,9445,244065,347029,18875,3.58568e+10,345973,349539,0.0102758,35709
20,16,3,0,0,0,275755,306373,1356,9171,338131,722682,19708,3.66063e+10,720905,728239,0.0101483,22791
20,16,4,0,0,0,368297,373937,1839,12515,473120,1.08697e+06,22250,3.15173e+10,1.08697e+06,1.08729e+06,0.000294396,25875
20,16,5,0,0,0,303861,342743,1297,9573,375196,853157,15375,3.98693e+10,851722,869258,0.0205542,21208
40,16,1,0,0,0,544334,654533,3772,22687,687670,1.49655e+06,24750,4.36284e+10,1.48651e+06,1.51664e+06,0.0201302,23334
40,16,2,0,0,0,568847,651440,1915,15282,635872,1.17846e+06,25750,4.45876e+10,1.17661e+06,1.18631e+06,0.0082345,23250
40,16,3,0,0,0,607637,632162,2460,20919,676517,1.21322e+06,28791,3.91681e+10,1.21322e+06,1.21789e+06,0.00385669,25875
40,16,4,0,0,0,692006,754166,1877,17393,695760,785018,24500,3.47439e+10,778918,788952,0.0127819,27500
40,16,5,0,0,0,550061,602951,2495,21301,624911,1.22739e+06,23375,3.83558e+10,1.22739e+06,1.24198e+06,0.011887,23667
60,16,1,0,0,0,1.0101e+06,1.08412e+06,3016,29117,1.16391e+06,2.56039e+06,34042,3.73589e+10,2.56032e+06,2.56908e+06,0.00342331,24167
60,16,2,0,0,0,1.0068e+06,1.06332e+06,5283,31593,1.08605e+06,1.52733e+06,34916,4.37575e+10,1.52497e+06,1.53722e+06,0.00802117,27166
60,16,3,0,0,0,756452,816612,4276,28941,897560,1.76043e+06,35375,4.43911e+10,1.76042e+06,1.77166e+06,0.00638482,25500
60,16,4,0,0,0,974849,996833,5048,34430,1.18182e+06,2.40635e+06,57625,4.24329e+10,2.40635e+06,2.40846e+06,0.00087643,23083
60,16,5,0,0,0,853705,921335,4444,30997,969249,1.7213e+06,37250,4.25796e+10,1.71777e+06,1.72726e+06,0.0055098,29166
80,16,1,0,0,0,1.36708e+06,1.43815e+06,5219,44647,1.61759e+06,3.5728e+06,45208,4.15576e+10,3.5728e+06,3.58121e+06,0.00235193,36792
80,16,2,0,0,0,948484,1.1368e+06,5346,32685,1.1249e+06,2.19144e+06,62709,4.47824e+10,2.19038e+06,2.2154e+06,0.011419,27250
80,16,3,0,0,0,1.21942e+06,1.3538e+06,4923,35312,1.55911e+06,3.76739e+06,46041,4.82764e+10,3.76635e+06,3.79033e+06,0.00636542,26083
80,16,4,0,0,0,1.26466e+06,1.42867e+06,6132,38540,1.66937e+06,3.93266e+06,44709,5.06851e+10,3.91094e+06,3.97231e+06,0.0156072,27166
80,16,5,0,0,0,901812,1.14257e+06,4883,32467,1.01412e+06,1.86752e+06,55042,4.75498e+10,1.84077e+06,1.88931e+06,0.0259911,23209
100,16,1,0,0,0,1.76826e+06,1.92965e+06,7969,55736,1.92764e+06,3.01063e+06,87459,4.57296e+10,3.01016e+06,3.04437e+06,0.0113611,28208
100,16,2,0,0,0,1.52879e+06,1.55662e+06,7874,53972,1.76501e+06,3.17198e+06,61458,4.32771e+10,3.17145e+06,3.17578e+06,0.00136571,23833
100,16,3,0,0,0,1.33461e+06,1.62378e+06,6092,40414,1.48082e+06,2.56146e+06,54584,5.19763e+10,2.51412e+06,2.59371e+06,0.0310744,23791
100,16,4,0,0,0,1.71322e+06,1.88143e+06,7126,54634,1.99826e+06,4.03554e+06,55500,4.73994e+10,4.0355e+06,4.06679e+06,0.00775336,29959
100,16,5,0,0,0,1.55411e+06,1.72489e+06,6937,48548,1.9634e+06,4.56912e+06,53708,4.61861e+10,4.5631e+06,4.58922e+06,0.0057162,24667
