I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound
60,16,1,0,0,0,795836,941474,4040,24940,816036,1.04394e+06,65250,5.19567e+11,1.03502e+06,1.06617e+06,0.0301039,40667
60,16,2,0,0,0,826835,948215,3887,28178,1.05228e+06,2.57087e+06,51041,4.92775e+11,2.5704e+06,2.58254e+06,0.00472105,40375
60,16,3,0,0,0,837504,1.04814e+06,2507,17211,1.00297e+06,2.15793e+06,34500,5.26482e+11,2.15641e+06,2.18406e+06,0.0128264,34375
60,16,4,0,0,0,944032,1.04415e+06,3346,29761,1.17825e+06,3.11066e+06,62042,4.54107e+11,3.10464e+06,3.12742e+06,0.00733967,40958
60,16,5,0,0,0,841788,1.0533e+06,3465,24249,1.05662e+06,2.51632e+06,43000,5.72851e+11,2.49364e+06,2.55674e+06,0.0253056,37333
80,16,1,0,0,0,1.20706e+06,1.36578e+06,5072,33924,1.3795e+06,2.48834e+06,44709,5.53745e+11,2.48212e+06,2.5192e+06,0.0149384,42417
80,16,2,0,0,0,1.29043e+06,1.30351e+06,5821,45087,1.38938e+06,2.06973e+06,44875,4.6243e+11,2.06973e+06,2.06999e+06,0.000122721,43833
80,16,3,0,0,0,1.10123e+06,1.24652e+06,6364,38997,1.36852e+06,2.8611e+06,46167,5.42733e+11,2.85781e+06,2.88439e+06,0.00930294,45500
80,16,4,0,0,0,1.3315e+06,1.49307e+06,5464,43268,1.41892e+06,2.14584e+06,45500,5.48378e+11,2.12813e+06,2.18536e+06,0.0268936,45125
80,16,5,0,0,0,1.20371e+06,1.45990e+06,5651,38599,1.60493e+06,4.14916e+06,43000,5.75226e+11,4.14192e+06,4.20043e+06,0.014126,40583
100,16,1,0,0,0,1.50674e+06,1.56748e+06,7245,49860,1.94144e+06,4.5479e+06,56667,5.49889e+11,4.5479e+06,4.55908e+06,0.0024585,42459
100,16,2,0,0,0,1.48683e+06,1.7037e+06,7340,51102,1.77309e+06,3.64245e+06,54583,5.92893e+11,3.61923e+06,3.69668e+06,0.0214004,39292
100,16,3,0,0,0,1.48558e+06,1.61844e+06,7740,44758,1.7797e+06,3.29596e+06,63167,5.78091e+11,3.2959e+06,3.31924e+06,0.00708244,43959
100,16,4,0,0,0,1.46467e+06,1.54613e+06,6377,50639,1.81541e+06,4.31446e+06,55458,5.31514e+11,4.31437e+06,4.33128e+06,0.00391946,41167
100,16,5,0,0,0,1.67124e+06,1.81436e+06,5587,41482,1.93382e+06,3.74552e+06,53708,4.85628e+11,3.74511e+06,3.76402e+06,0.00504845,39375
