I,K, step, gamma, instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound, ue_assign, ue_misplace,POA_assign,POA_misplace
20,4,10,0,1,191482,3077,191482,191671,197137,578,1443,191671,197137,5000,35583,196905,197137,0.00117823,834,197137,738,1.029532802,1.276816609
20,4,10,0,2,187365,3004,187365,187592,192462,578,1443,187592,192462,5417,26959,192169,192462,0.0015247,709,192462,578,1.027203587,1
20,4,10,0,3,194661,2853,194661,194703,200255,578,1443,194703,200255,5625,34542,199690,200255,0.00282939,1084,200255,578,1.028737138,1
20,4,10,0,4,199436,2730,199436,199566,204548,578,1443,199566,204548,6958,26750,203895,204548,0.00320263,667,204548,578,1.025632283,1
20,4,10,0,5,192121,3096,192121,192225,197776,578,1443,192225,197776,5917,25792,197446,197776,0.00167134,708,197776,738,1.029434575,1.276816609
20,4,10,0,6,191730,3067,191730,191771,197132,578,1443,191771,197132,5500,27375,197073,197132,0.000299381,667,197132,578,1.028175038,1
20,4,10,0,7,189552,3227,189552,189675,194800,578,1443,189675,194800,5042,25458,194580,194800,0.00113064,833,194800,578,1.027686334,1
20,4,10,0,8,206577,2926,206577,206690,211167,578,1443,206690,211167,7084,26625,210615,211167,0.0026209,791,211167,578,1.022219318,1
20,4,10,0,9,194075,3131,194075,194140,199399,578,1443,194140,199399,6709,30584,199267,199399,0.000662428,875,199399,702,1.027432694,1.214532872
20,4,10,0,10,194282,3040,194282,194546,200102,578,1443,194546,200102,6541,28166,199880,200102,0.00111067,666,200102,996,1.029956455,1.723183391
20,4,10,5,1,190011,578,192901,190011,195008,578,1443,192901,201921,6250,25833,201921,202223,0.00149563,666,194706,1443,1.024709096,2.496539792
20,4,10,5,2,194627,578,197517,194627,198712,578,1443,197517,205296,6375,30542,205296,205927,0.00307361,875,198081,1443,1.017746767,2.496539792
20,4,10,5,3,194541,578,197431,194541,199753,578,1443,197431,206890,6750,37458,206890,206968,0.000377012,541,199675,1443,1.026390324,2.496539792
20,4,10,5,4,192558,578,195448,192558,197449,578,1443,195448,204570,6625,28875,204570,204664,0.0004595,958,197355,1443,1.024911975,2.496539792
20,4,10,5,5,186367,613,189432,186542,192187,578,1443,189432,199220,6459,29417,199220,199402,0.000913563,667,192005,1443,1.030252137,2.496539792
20,4,10,5,6,192057,578,194947,192057,197141,578,1443,194947,204072,6625,30042,204072,204356,0.00139167,708,196857,1443,1.02499258,2.496539792
20,4,10,5,7,200472,578,203362,200472,204741,578,1443,203362,211600,6167,31458,211600,211956,0.00168242,583,204385,1443,1.019518935,2.496539792
20,4,10,5,8,201958,578,204848,201958,207021,578,1443,204848,213699,5500,26208,213699,214236,0.00251288,791,206484,1443,1.0224106,2.496539792
20,4,10,5,9,187786,578,190676,187786,192548,578,1443,190676,199361,5167,25666,199361,199763,0.00201644,833,192146,1443,1.023217918,2.496539792
20,4,10,5,10,184389,578,187279,184389,188090,578,1443,187279,195157,6709,29833,195157,195305,0.000758364,750,187942,1443,1.019269045,2.496539792
20,4,10,10,1,197555,578,203335,197555,202149,578,1443,203335,216541,5041,23958,216541,216579,0.000175486,792,202111,1443,1.023061932,2.496539792
20,4,10,10,2,187413,578,193193,187413,192590,578,1443,193193,206728,5167,26000,206728,207020,0.00141248,708,192298,1443,1.026065428,2.496539792
20,4,10,10,3,193154,578,198934,193154,197751,578,1443,198934,212115,5792,27458,212115,212181,0.000311152,708,197685,1443,1.023457966,2.496539792
20,4,10,10,4,194647,578,200427,194647,198865,578,1443,200427,212918,5375,25916,212918,213295,0.00177063,667,198488,1443,1.019733158,2.496539792
20,4,10,10,5,196268,578,202048,196268,201282,578,1443,202048,215167,7208,27667,215167,215712,0.00253292,666,200737,1443,1.022769886,2.496539792
20,4,10,10,6,192468,578,198248,192468,197862,578,1443,198248,212171,7042,26750,212171,212292,0.000570295,709,197741,1443,1.027396762,2.496539792
20,4,10,10,7,187677,578,193457,187677,192814,578,1443,193457,207058,6875,30209,207058,207244,0.000898299,708,192628,1443,1.02638043,2.496539792
20,4,10,10,8,196882,578,202662,196882,202155,578,1443,202662,216319,7041,25417,216319,216585,0.00122967,750,201889,1443,1.025431477,2.496539792
20,4,10,10,9,189199,578,194979,189199,194705,578,1443,194979,208762,5500,23208,208762,209135,0.00178672,833,194332,1443,1.027130165,2.496539792
20,4,10,10,10,185382,578,191162,185382,190408,578,1443,191162,204619,7458,27333,204619,204838,0.00107028,584,190189,1443,1.025930241,2.496539792
20,4,10,15,1,175620,578,184290,175620,179575,578,1443,184290,201049,6833,28208,201049,201220,0.000850539,917,179404,1443,1.021546521,2.496539792
20,4,10,15,2,198984,578,207654,198984,204342,578,1443,207654,225752,6583,31959,225752,225987,0.00104097,667,204107,1443,1.025745789,2.496539792
20,4,10,15,3,190791,578,199461,190791,196603,578,1443,199461,218032,6875,30416,218032,218248,0.00099068,583,196387,1443,1.029330524,2.496539792
20,4,10,15,4,198650,578,207320,198650,203185,578,1443,207320,224150,6625,30833,224150,224830,0.00303368,584,202505,1443,1.01940599,2.496539792
20,4,10,15,5,196316,578,204986,196316,201559,578,1443,204986,222369,6625,32625,222369,223204,0.00375502,833,200724,1443,1.022453595,2.496539792
20,4,10,15,6,188475,578,197145,188475,193973,578,1443,197145,215468,7209,24375,215468,215618,0.000696159,625,193823,1443,1.028375116,2.496539792
20,4,10,15,7,190975,578,199645,190975,195749,578,1443,199645,216949,5500,26250,216949,217394,0.00205117,750,195304,1443,1.022667888,2.496539792
20,4,10,15,8,190619,578,199289,190619,194985,578,1443,199289,216133,6584,27666,216133,216630,0.00229951,750,194488,1443,1.020297032,2.496539792
