I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound
20,4,3,72836,2614,72836,77479,93830,332,713,77479,93830,5375,52666,88565,93830,0.0561121,833
20,4,3,72836,789,73625,77479,93830,332,713,77811,94386,5708,687084,89278,94543,0.0557816,750
20,4,3,72921,704,74329,77479,93830,332,713,78143,94942,5375,32417,89991,95256,0.0554549,708
20,4,3,72935,697,75026,77479,93830,332,713,78475,95498,4875,30417,90704,95969,0.055132,583
20,4,3,72935,697,75723,77479,93830,332,713,78807,96054,5500,30583,91417,96682,0.0548129,458
20,4,3,73199,631,76354,77479,93830,332,713,79139,96610,5208,31167,92130,97395,0.0544975,583
20,4,3,73367,603,76985,77479,93830,332,713,79471,97166,4667,84375,92843,98108,0.0541856,750
20,4,3,73463,587,77572,77479,93830,332,713,79803,97722,5084,127500,93556,98821,0.0538773,625
20,4,3,73463,587,78159,77479,93830,332,713,80135,98278,10292,284333,94269,99534,0.0535725,1291
20,4,3,73463,587,78746,77479,93830,332,713,80467,98834,10667,177084,94982,100247,0.0532711,1292
20,4,3,73949,533,79279,77479,93830,332,713,80799,99390,4875,30750,95695,100960,0.0529731,916
20,4,3,74359,492,79771,77479,93830,332,713,81131,99946,5291,31208,96408,101673,0.0526784,542
20,4,3,74359,492,80263,77479,93830,332,713,81463,100502,4833,29750,97121,102386,0.052387,709
20,4,3,74359,492,80755,77479,93830,332,713,81795,101058,5125,30959,97834,103099,0.0520988,541
20,4,3,75074,437,81192,77479,93830,332,713,82127,101614,4833,28208,98547,103812,0.0518137,458
20,4,3,75074,437,81629,77479,93830,332,713,82459,102170,4958,32166,99260,104525,0.0515318,583
20,4,3,75074,437,82066,77479,93830,332,713,82791,102726,5125,32375,99973,105238,0.0512528,583
20,4,3,75074,437,82503,77479,93830,332,713,83123,103282,10458,58459,100686,105951,0.0509769,1709
20,4,3,75074,437,82940,77479,93830,332,713,83455,103838,29875,56875,101399,106664,0.050704,1750
20,4,3,75470,415,83355,77479,93830,332,713,83787,104394,5125,32167,102112,107377,0.0504339,708
20,4,3,75470,415,83770,77479,93830,332,713,84119,104950,10417,57458,102825,108090,0.0501667,1292
20,4,3,75470,415,84185,77479,93830,332,713,84451,105506,21208,59708,103538,108803,0.0499024,1125
20,4,3,75470,415,84600,77479,93830,332,713,84783,106062,5542,32541,104251,109516,0.0496408,666
20,4,3,75470,415,85015,77479,93830,332,713,85115,106618,10584,59458,104964,110229,0.0493819,1125
20,4,3,76229,382,85397,77479,93830,332,713,85447,107174,5334,44625,105677,110942,0.0491257,833
20,4,3,76229,382,85779,77479,93830,332,713,85779,107730,10500,58000,106390,111655,0.0488722,1292
20,4,3,77479,332,86111,77479,93830,332,713,86111,108286,4916,31542,107103,112368,0.0486212,542
20,4,3,77479,332,86443,77479,93830,332,713,86443,108842,4542,38208,107816,113081,0.0483729,666
20,4,3,77479,332,86775,77479,93830,332,713,86775,109398,10333,57042,108529,113794,0.048127,1208
20,4,3,77479,332,87107,77479,93830,332,713,87107,109954,4625,28791,109242,114507,0.0478837,542
20,4,3,77479,332,87439,77479,93830,332,713,87439,110510,4958,29500,109955,115220,0.0476427,625
20,4,3,77479,332,87771,77479,93830,332,713,87771,111066,4542,27875,110668,115933,0.0474042,500
