K,instance,time,gap
16,1,3.60648e+12,0.200586
16,2,3.60357e+12,0.303279
16,3,3.61985e+12,0.22069
16,4,3.60303e+12,0.498638
16,5,3.60271e+12,0.324
16,6,3.7701e+12,0.204986
16,7,3.73494e+12,0.14245
16,8,3.76827e+12,0.120829
16,9,3.63742e+12,0.293358
16,10,3.60305e+12,0.428571
18,1,3.60382e+12,0.318182
18,2,3.60311e+12,0.139773
18,3,3.60293e+12,0.122253
18,4,3.6044e+12,0.200814
18,5,3.60275e+12,0.139651
18,6,3.98596e+12,0.154246
18,7,3.60664e+12,0.232227
18,8,3.6173e+12,0.177033
18,9,3.60691e+12,0.143302
18,10,3.60391e+12,0.125767
20,1,3.60762e+12,0.216182
20,2,3.60635e+12,0.206198
20,3,3.60719e+12,0.109166
20,4,3.6032e+12,0.169096
20,5,3.60334e+12,0.0945626
20,6,3.60614e+12,0.0985325
20,7,3.60469e+12,0.171296
20,8,3.6029e+12,0.288978
20,9,3.60752e+12,0.143432
20,10,3.60304e+12,0.142098
