K,instance,time,gap,,,
14,1,3.60098e+12,0.303774,0.159223,0.755162,0.3984853
14,2,3.60053e+12,0.252066,,,
14,3,3.60042e+12,0.182986,,,
14,4,3.60048e+12,0.159223,,,
14,5,3.60059e+12,0.289855,,,
14,6,3.60041e+12,0.275578,,,
14,7,3.60073e+12,0.755162,,,
14,8,3.60034e+12,0.66264,,,
14,9,3.60034e+12,0.456186,,,
14,10,3.60191e+12,0.647383,,,
16,1,3.60175e+12,0.200586,0.120829,0.498638,0.2735705
16,2,3.60083e+12,0.303279,,,
16,3,3.60025e+12,0.219008,,,
16,4,3.60074e+12,0.498638,,,
16,5,3.60045e+12,0.324,,,
16,6,3.60028e+12,0.204986,,,
16,7,3.60058e+12,0.14245,,,
16,8,3.60059e+12,0.120829,,,
16,9,3.60083e+12,0.293358,,,
16,10,3.60072e+12,0.428571,,,
18,1,3.601e+12,0.327839,0.125767,0.327839,0.1799324
18,2,3.60082e+12,0.139773,,,
18,3,3.60077e+12,0.142657,,,
18,4,3.60109e+12,0.207367,,,
18,5,3.6009e+12,0.139651,,,
18,6,3.6008e+12,0.154246,,,
18,7,3.60052e+12,0.232227,,,
18,8,3.60094e+12,0.186495,,,
18,9,3.60054e+12,0.143302,,,
18,10,3.60042e+12,0.125767,,,
20,1,3.60076e+12,0.217722,0.0802407,0.288978,0.15944798
20,2,3.60106e+12,0.206198,,,
20,3,3.60038e+12,0.0802407,,,
20,4,3.60047e+12,0.170803,,,
20,5,3.60031e+12,0.0945626,,,
20,6,3.60064e+12,0.0985325,,,
20,7,3.60039e+12,0.171296,,,
20,8,3.60052e+12,0.288978,,,
20,9,3.60063e+12,0.143432,,,
20,10,3.6003e+12,0.122715,,,
